outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,pam_dropout,pam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,phase,train_auc,train_aucpr,train_acc,seed,missing_location,train_missing_prop
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,1,0.8662837147712708,0.705139696598053,0.4222222222222222,0.6284289784289785,0.42857142857142855,0.6840217113494873,0.7032064199447632,0.12644875422120094,0.36628541350364685,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,2,0.7048302292823792,0.7024533152580261,0.4444444444444444,0.641067266067266,0.42857142857142855,0.6733103692531586,0.6327746510505676,0.05694909952580929,0.15106479078531265,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,3,0.7427568435668945,0.6991751790046692,0.5111111111111111,0.6605699855699856,0.5,0.6325338184833527,0.6737229228019714,0.05111635848879814,0.17917557805776596,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,4,0.6621999442577362,0.6949368715286255,0.5555555555555556,0.6797498797498798,0.5,0.6224753856658936,0.603289395570755,0.04709920473396778,0.11811316758394241,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,5,0.6676866114139557,0.6907011866569519,0.5555555555555556,0.6724747474747476,0.42857142857142855,0.6312861740589142,0.5884547233581543,0.06460482999682426,0.14627065882086754,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,6,0.6754681766033173,0.6863343715667725,0.5111111111111111,0.6554824804824805,0.5,0.6140061914920807,0.6180507242679596,0.04618774354457855,0.11229714006185532,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,7,0.653170645236969,0.6816133260726929,0.5777777777777777,0.6972934472934474,0.5714285714285714,0.5984621942043304,0.5733516216278076,0.06418220698833466,0.15636798739433289,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,8,0.6302244663238525,0.6763302087783813,0.5777777777777777,0.6972934472934474,0.5714285714285714,0.6019099652767181,0.5642331540584564,0.05324862524867058,0.12742683663964272,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,9,0.6197687685489655,0.6735293865203857,0.6222222222222222,0.7151946818613486,0.6428571428571429,0.5851304829120636,0.5294011235237122,0.07265750877559185,0.177101731300354,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,10,0.6606761813163757,0.6732585430145264,0.6222222222222222,0.7151946818613486,0.6428571428571429,0.5748848915100098,0.568379133939743,0.07230820134282112,0.19988837093114853,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,11,0.671343594789505,0.6751553416252136,0.5777777777777777,0.6994819994819996,0.6428571428571429,0.5552217960357666,0.5591956079006195,0.0869988352060318,0.2514912039041519,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss33_trlocglobal,12,0.6192479431629181,0.6795713901519775,0.5555555555555556,0.6902227402227403,0.5714285714285714,0.5821265280246735,0.5415203273296356,0.06323268823325634,0.14494935423135757,0.0,0.0,0.0,0.0,0.0,,,,,55602,global,0.33
