model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
Di-MMLP,both,0.0,0.0,0.0,0.0,0.6275454039362086,0.07257928732347199,25
Di-MMLP,both,0.0,0.2,0.0,0.2,0.62919101417952,0.07377014516106555,25
Di-MMLP,both,0.0,0.4,0.0,0.4,0.606895110849134,0.08041811787650406,25
Di-MMLP,both,0.0,0.6,0.0,0.6,0.5733036644071127,0.06778890154019866,25
Di-MMLP,both,0.0,0.8,0.0,0.8,0.5438575498575497,0.060232633158632844,25
Di-MMLP,both,0.2,0.0,0.2,0.0,0.6498975668860727,0.06124037552854522,25
Di-MMLP,both,0.2,0.2,0.2,0.2,0.6371652749124014,0.061833719411821364,25
Di-MMLP,both,0.2,0.4,0.2,0.4,0.6192053574352425,0.06530309933949437,25
Di-MMLP,both,0.2,0.6,0.2,0.6,0.5877380227265285,0.055446538046835935,25
Di-MMLP,both,0.2,0.8,0.2,0.8,0.542933032059469,0.06191655228332066,25
Di-MMLP,both,0.4,0.0,0.4,0.0,0.6214422503847792,0.06415135125330569,25
Di-MMLP,both,0.4,0.2,0.4,0.2,0.6025994694960213,0.06277638718720309,25
Di-MMLP,both,0.4,0.4,0.4,0.4,0.5805064020696205,0.06428135310680054,25
Di-MMLP,both,0.4,0.6,0.4,0.6,0.5775557520385107,0.06786651232270058,25
Di-MMLP,both,0.4,0.8,0.4,0.8,0.5439071290565544,0.08099361481467564,25
Di-MMLP,both,0.6,0.0,0.6,0.0,0.607321675344664,0.058190888840169847,25
Di-MMLP,both,0.6,0.2,0.6,0.2,0.57877728657039,0.0626700043137523,25
Di-MMLP,both,0.6,0.4,0.6,0.4,0.5650596980711923,0.06780443848368785,25
Di-MMLP,both,0.6,0.6,0.6,0.6,0.5480568490683434,0.07467104915419746,25
Di-MMLP,both,0.6,0.8,0.6,0.8,0.5225469430526902,0.08488171820447153,25
Di-MMLP,both,0.8,0.0,0.8,0.0,0.5550424075711432,0.05452723314070637,25
Di-MMLP,both,0.8,0.2,0.8,0.2,0.5383409634214231,0.06189123632506196,25
Di-MMLP,both,0.8,0.4,0.8,0.4,0.5109112879457707,0.07214026498546158,25
Di-MMLP,both,0.8,0.6,0.8,0.6,0.508777090087435,0.07632993632412023,25
Di-MMLP,both,0.8,0.8,0.8,0.8,0.4767707371385533,0.07545176029057882,25
Di-PAM,both,0.0,0.0,0.0,0.0,0.6223302878475292,0.06395588990858009,25
Di-PAM,both,0.0,0.2,0.0,0.2,0.6117073713855323,0.05944169230430994,25
Di-PAM,both,0.0,0.4,0.0,0.4,0.5994583619870977,0.05414435413822709,25
Di-PAM,both,0.0,0.6,0.0,0.6,0.5707028195304058,0.0423817358548728,25
Di-PAM,both,0.0,0.8,0.0,0.8,0.5483235419327372,0.0536143791112443,25
Di-PAM,both,0.2,0.0,0.2,0.0,0.6303148311883944,0.06391213200638429,25
Di-PAM,both,0.2,0.2,0.2,0.2,0.6098777221076072,0.07020892643678209,25
Di-PAM,both,0.2,0.4,0.2,0.4,0.5863675541146806,0.07080192152260154,25
Di-PAM,both,0.2,0.6,0.2,0.6,0.5524599665978976,0.06354836837098458,25
Di-PAM,both,0.2,0.8,0.2,0.8,0.5248421259455742,0.0627869269901669,25
Di-PAM,both,0.4,0.0,0.4,0.0,0.6179998690113632,0.06792830011139368,25
Di-PAM,both,0.4,0.2,0.4,0.2,0.5951637030487605,0.06889627972804037,25
Di-PAM,both,0.4,0.4,0.4,0.4,0.5715608605953434,0.0679366978475208,25
Di-PAM,both,0.4,0.6,0.4,0.6,0.5593943740380523,0.06396172961691504,25
Di-PAM,both,0.4,0.8,0.4,0.8,0.5258932442610604,0.0799630556649081,25
Di-PAM,both,0.6,0.0,0.6,0.0,0.6111103906736092,0.05676574563448774,25
Di-PAM,both,0.6,0.2,0.6,0.2,0.5852413793103448,0.06879390515756635,25
Di-PAM,both,0.6,0.4,0.6,0.4,0.564746831712349,0.0748371578562316,25
Di-PAM,both,0.6,0.6,0.6,0.6,0.5449342764515178,0.059555558415448406,25
Di-PAM,both,0.6,0.8,0.6,0.8,0.5174731637030487,0.07000561282494154,25
Di-PAM,both,0.8,0.0,0.8,0.0,0.532338081671415,0.09570163842657574,25
Di-PAM,both,0.8,0.2,0.8,0.2,0.5175765137374333,0.08917025862623551,25
Di-PAM,both,0.8,0.4,0.8,0.4,0.5090953269803845,0.08621734564984362,25
Di-PAM,both,0.8,0.6,0.8,0.6,0.5235144251236206,0.09055523406814173,25
Di-PAM,both,0.8,0.8,0.8,0.8,0.5074985754985756,0.07202795222711596,25
