model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-MMLP,envelope,0.2,0.0,0.0,0.6498975668860727,0.06124037552854522,25,0.022881375871893095,0.628034672692144,0.6737974244359302,0.6275454039362086,0.9656066369705575,0.03523738098242879,0.9303692559881287,1.0008440179529863,False
Di-MMLP,envelope,0.2,0.2,0.2,0.6371652749124014,0.061833719411821364,25,0.02395419245505448,0.6121221927497791,0.660030577659888,0.6275454039362086,0.9849020790131487,0.03847375663127439,0.9464283223818744,1.0233758356444231,False
Di-MMLP,envelope,0.2,0.4,0.4,0.6192053574352425,0.06530309933949437,25,0.024589806628024957,0.5935691734617023,0.6427487867177523,0.6275454039362086,1.0134689508106174,0.04191112306112599,0.9715578277494914,1.0553800738717434,False
Di-MMLP,envelope,0.2,0.6,0.6,0.5877380227265285,0.055446538046835935,25,0.02117878311556476,0.5670565461571209,0.6094141123882504,0.6275454039362086,1.067729804216193,0.03991324537403518,1.0278165588421577,1.107643049590228,False
Di-MMLP,envelope,0.4,0.8,0.8,0.5439071290565544,0.08099361481467564,25,0.030453508858106493,0.5126288879064741,0.5735359056226871,0.6275454039362086,1.1537730807550377,0.06843157269285238,1.0853415080621853,1.22220465344789,False
Di-PAM,envelope,0.0,0.2,0.2,0.6117073713855323,0.05944169230430994,25,0.022121985623997087,0.5889235059108623,0.6331674771588565,0.6223302878475292,1.0173660102181468,0.038172852984337924,0.9791931572338088,1.0555388632024847,False
Di-PAM,envelope,0.0,0.4,0.4,0.5994583619870977,0.05414435413822709,25,0.020879528113436185,0.5778656302190786,0.6196246864459509,0.6223302878475292,1.0381543194837006,0.037464509641011556,1.000689809842689,1.0756188291247122,False
Di-PAM,envelope,0.0,0.6,0.6,0.5707028195304058,0.0423817358548728,25,0.016217180797065855,0.554242739954809,0.5866771015489407,0.6223302878475292,1.0904629634730107,0.03189304428432771,1.058569919188683,1.1223560077573385,False
Di-PAM,envelope,0.0,0.8,0.8,0.5483235419327372,0.0536143791112443,25,0.020466708419294544,0.527779459344402,0.568712876182991,0.6223302878475292,1.1349691199723655,0.044006405844485785,1.0909627141278797,1.1789755258168513,False
Di-PAM,envelope,0.2,0.0,0.0,0.6303148311883944,0.06391213200638429,25,0.024571074434292905,0.6053752202246455,0.6545173690932313,0.6223302878475292,0.9873324520608041,0.040049639638014445,0.9472828124227897,1.0273820916988186,False
