model_name,train_missing_prop,test_missing_prop,seed,outer_fold,prediction_source,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.4,4,4,ensemble,0,4|outer_4|ensemble,56,0.5555555555555556
Di-MMLP,0.0,0.4,4,5,ensemble,0,4|outer_5|ensemble,56,0.6782051282051282
Di-MMLP,0.0,0.4,22,1,ensemble,0,22|outer_1|ensemble,57,0.5024691358024691
Di-MMLP,0.0,0.4,22,2,ensemble,0,22|outer_2|ensemble,56,0.558109833971903
Di-MMLP,0.0,0.4,22,3,ensemble,0,22|outer_3|ensemble,56,0.578544061302682
Di-MMLP,0.0,0.4,22,4,ensemble,0,22|outer_4|ensemble,56,0.8148148148148149
Di-MMLP,0.0,0.4,22,5,ensemble,0,22|outer_5|ensemble,56,0.6730769230769231
Di-MMLP,0.0,0.4,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5876543209876544
Di-MMLP,0.0,0.4,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6206896551724138
Di-MMLP,0.0,0.4,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.598978288633461
Di-MMLP,0.0,0.4,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.5197956577266922
Di-MMLP,0.0,0.4,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.6961538461538461
Di-MMLP,0.0,0.4,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.5370370370370371
Di-MMLP,0.0,0.4,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6028097062579821
Di-MMLP,0.0,0.4,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.6845466155810984
Di-MMLP,0.0,0.4,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.5568326947637293
Di-MMLP,0.0,0.4,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.6294871794871795
Di-MMLP,0.0,0.4,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5987654320987654
Di-MMLP,0.0,0.4,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.5887611749680716
Di-MMLP,0.0,0.4,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.7164750957854407
Di-MMLP,0.0,0.4,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.6028097062579821
Di-MMLP,0.0,0.4,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.46923076923076923
Di-MMLP,0.0,0.6,4,1,ensemble,0,4|outer_1|ensemble,57,0.6283950617283951
Di-MMLP,0.0,0.6,4,2,ensemble,0,4|outer_2|ensemble,56,0.4687100893997446
Di-MMLP,0.0,0.6,4,3,ensemble,0,4|outer_3|ensemble,56,0.6257982120051085
Di-MMLP,0.0,0.6,4,4,ensemble,0,4|outer_4|ensemble,56,0.49425287356321834
Di-MMLP,0.0,0.6,4,5,ensemble,0,4|outer_5|ensemble,56,0.6474358974358974
Di-MMLP,0.0,0.6,22,1,ensemble,0,22|outer_1|ensemble,57,0.5925925925925926
