model_name,is_distillation_method,baseline_auc,train_time_aupmc,test_time_aupmc,best_adapted_aupmc,train_degradation_coefficient,test_degradation_coefficient,minimum_degradation_coefficient
SMILe,False,0.6477338965844713,0.6249652798244751,0.6111063627730295,0.6111063627730295,1.0364318106861727,1.0599364301252507,1.0599364301252507
HealNet,False,0.6390209254347186,0.6270493008481515,0.6107888381307921,0.611889208173691,1.0190919989391172,1.0462223366594674,1.044340898480638
KNN_MLP,False,0.6364250581262076,0.6169436830729934,0.6166768346595933,0.6223804319350297,1.0315772340129614,1.0320236181362568,1.022565982910986
ZI_MLP,False,0.6364250581262076,0.6187456118806695,0.6008459246160396,0.6015520270491534,1.028573045054496,1.0592150700412994,1.0579717622233276
Di-MMLP,True,0.6275454039362086,,0.5987728165831614,0.6102527507613715,,1.0480525945002566,1.0283368705069533
VAE_MLP,False,0.6258749058519174,0.6156020974555457,0.6036273455152766,0.6045559894554148,1.0166874161716344,1.036856448770805,1.035263758474557
pAM,False,0.6231235550316011,0.6081746078527688,0.6012840079248125,0.6013290188951109,1.0245800251865353,1.036321516652609,1.03624394541367
Di-PAM,True,0.6223302878475292,,0.5917988669482923,0.5927969348659005,,1.0515908742047397,1.0498203537241797
