outer_fold,inner_fold,hp_name,batch_size,learning_rate,smil_e_latent_dim,smil_e_num_priors,smil_e_num_heads,smil_e_dropout,smil_e_alpha,smil_e_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,missing_location,train_missing_prop
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,1,0.651137199666765,0.6914024750391642,0.6403162055335968,0.6362148456475816,0.5333333333333333,0.0,0.0,0.0,0.0,0.651137199666765,0.5881657302379608,0.5771974325180054,0.5481419099701775,0.5486877030796475,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,2,0.6063860721058316,0.6741618116696676,0.6284584980237155,0.6163901587002187,0.6222222222222222,0.0,0.0,0.0,0.0,0.6063860721058316,0.48370534512731767,0.47267347905370927,0.5542826718754239,0.548902346028222,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,3,0.5543474521901872,0.6639242569605509,0.6561264822134387,0.6324506191522491,0.6666666666666666,0.0,0.0,0.0,0.0,0.5543474521901872,0.39431140820185345,0.3831665532456504,0.5636097457673814,0.5508760015169779,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,4,0.5163601405090756,0.6629718542098999,0.6679841897233202,0.617078020396102,0.6666666666666666,0.0,0.0,0.0,0.0,0.5163601405090756,0.33513006567955017,0.3238377670447032,0.5734731687439812,0.5557566086451212,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,5,0.4514066543844011,0.6635898947715759,0.6620553359683794,0.6314704726295612,0.6888888888888889,0.0,0.0,0.0,0.0,0.4514066543844011,0.2543853943546613,0.24289279099967745,0.5837163130442301,0.5655439429812961,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,6,0.42812036474545795,0.6751859585444132,0.658102766798419,0.6083370710858758,0.6888888888888889,0.0,0.0,0.0,0.0,0.42812036474545795,0.21231028106477526,0.20061786224444708,0.5919421977467008,0.577299541897244,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,7,0.38474280966652763,0.6940041383107504,0.6620553359683795,0.6151720744447154,0.6888888888888889,0.0,0.0,0.0,0.0,0.38474280966652763,0.16747110792332226,0.1555451937019825,0.5991489556100633,0.5934427115652297,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,8,0.34031741321086884,0.7208816607793173,0.6600790513833992,0.6153575932068283,0.6666666666666666,0.0,0.0,0.0,0.0,0.34031741321086884,0.13381576827830738,0.12160584392646949,0.606825762324863,0.6141669286621941,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,9,0.29450951847765183,0.7605552275975546,0.6600790513833993,0.6374222416563037,0.6,0.0,0.0,0.0,0.0,0.29450951847765183,0.10421703652375275,0.09176263689166969,0.6110438638263278,0.6343959636158414,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,10,0.24224378334151375,0.7931405603885651,0.658102766798419,0.6402035005689031,0.6222222222222222,0.0,0.0,0.0,0.0,0.24224378334151375,0.088309979894095,0.07557161255843109,0.6153672072622511,0.6584696107440524,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,11,0.20041558146476746,0.8085128466288248,0.658102766798419,0.6408202750987211,0.6222222222222222,0.0,0.0,0.0,0.0,0.20041558146476746,0.07171020491255654,0.05876747611910105,0.6174399918980069,0.6768328746159872,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,12,0.1981331706047058,0.8275343577067057,0.6561264822134388,0.6395468714755936,0.6,0.0,0.0,0.0,0.0,0.1981331706047058,0.0656482730474737,0.05255325428313679,0.6193956335385641,0.6901063786612617,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,13,0.1774158693022198,0.8495000998179117,0.6521739130434783,0.6381810892173629,0.6,0.0,0.0,0.0,0.0,0.1774158693022198,0.061106945077578224,0.04785814731278353,0.6209689709875319,0.7039109600914849,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,14,0.17228832095861435,0.8675909539063772,0.6521739130434783,0.641073550549722,0.6,0.0,0.0,0.0,0.0,0.17228832095861435,0.05347770183450646,0.04011325227717558,0.6210397746827867,0.7154052986039056,22,global,0.0
1,1,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,16,5e-05,32,32,4,0.1,0.01,0.01,lr5e-05_bs16_lat32_pri32_heads4_drop0p1_alpha0p01_beta0p01_trmiss0_trlocglobal,15,0.1527564815349049,0.8939854800701141,0.6521739130434783,0.641829867339391,0.5777777777777777,0.0,0.0,0.0,0.0,0.1527564815349049,0.050901641241378255,0.03735612824352251,0.6233099632793002,0.7312412791781955,22,global,0.0
