train_missing_prop,test_missing_prop,winner_rank,loser_rank,winner_model,loser_model,winner_mean_auc,loser_mean_auc,delta_mean_auc,wilcoxon_statistic,p_value,n_replicates,p_value_fdr,significant_fdr_0p05,n_pairs_tested_in_cell
0.0,0.0,1,2,KNN_MLP,VAE_MLP,0.6426093514328809,0.6393212669683258,0.0032880844645550855,131.0,0.8313725059831443,25,0.9237472288701603,False,10
0.0,0.0,1,3,KNN_MLP,ZI_MLP,0.6426093514328809,0.6391101055806938,0.003499245852187083,4.0,0.34523107177184,25,0.4315388397148,False,10
0.0,0.0,1,4,KNN_MLP,pAM,0.6426093514328809,0.6000301659125189,0.042579185520361995,82.0,0.052009462105186775,25,0.2778559319248129,False,10
0.0,0.0,1,5,KNN_MLP,Di-PAM,0.6426093514328809,0.5812971342383108,0.06131221719457014,3.0,0.3125,5,0.4315388397148,False,10
0.0,0.0,2,3,VAE_MLP,ZI_MLP,0.6393212669683258,0.6391101055806938,0.00021116138763199732,135.0,0.9272812579238552,25,0.9272812579238552,False,10
0.0,0.0,2,4,VAE_MLP,pAM,0.6393212669683258,0.6000301659125189,0.03929110105580691,99.0,0.09031611680984497,25,0.3010537226994832,False,10
0.0,0.0,2,5,VAE_MLP,Di-PAM,0.6393212669683258,0.5812971342383108,0.058024132730015054,1.0,0.125,5,0.3125,False,10
0.0,0.0,3,4,ZI_MLP,pAM,0.6391101055806938,0.6000301659125189,0.03907993966817491,83.0,0.05557118638496258,25,0.2778559319248129,False,10
0.0,0.0,3,5,ZI_MLP,Di-PAM,0.6391101055806938,0.5812971342383108,0.05781297134238306,2.0,0.1875,5,0.375,False,10
0.0,0.0,4,5,pAM,Di-PAM,0.6000301659125189,0.5812971342383108,0.018733031674208145,3.0,0.3125,5,0.4315388397148,False,10
