outer_fold,inner_fold,hp_name,batch_size,learning_rate,dyam_dropout,dyam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,seed,train_missing_location,train_missing_prob
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,13,1.1567526757717133,0.644241472085317,0.6470588235294117,0.7752524982999908,0.6222222222222222,0.5490470429261526,0.6004880368709564,0.5315052246054014,0.24759403678278127,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,14,1.146747296055158,0.6447028915087382,0.6449579831932774,0.7743075909255644,0.5777777777777777,0.5548846224943796,0.6114691495895386,0.5111515273650488,0.24126642166326442,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,15,1.1544347604115803,0.6441085338592529,0.6449579831932774,0.7696442293688206,0.6222222222222222,0.5401097486416498,0.6043346474568049,0.5223790407180786,0.27721069504817325,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,1.1362003882726033,0.6426067352294922,0.638655462184874,0.7452530746403595,0.6222222222222222,0.5375179996093115,0.6039852400620779,0.5049203510085741,0.2729481129596631,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,17,1.1441542853911717,0.6387210687001547,0.6533613445378151,0.7520915679011564,0.6222222222222222,0.5274296452601751,0.5955392494797707,0.522447906434536,0.2616713084280491,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,18,1.1736936271190643,0.6386534969011942,0.6491596638655462,0.7503110676593191,0.6222222222222222,0.5167614966630936,0.5757201090455055,0.5666469310720762,0.3132658824324608,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,19,1.1818496137857437,0.6414633591969808,0.6407563025210085,0.7480034214188254,0.6222222222222222,0.5253559922178587,0.6070145418246587,0.5451792577902476,0.2965579728285472,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,20,1.1246859977642696,0.6400885184605917,0.6470588235294118,0.7547310693369307,0.6222222222222222,0.513667918741703,0.5811027040084203,0.5137669468919436,0.29816339661677677,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss60_trlocglobal,21,1.1167484174172084,0.6430413126945496,0.6407563025210085,0.7572354110774926,0.6,0.5152038137118021,0.5927104502916336,0.5009332423408827,0.23104719196756682,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,1,1.5437084039052327,0.7042837540308634,0.4894957983193278,0.6417935595346692,0.5333333333333333,0.6860592514276505,0.7152796238660812,0.7560343245665232,0.2413148811707894,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,2,1.4600803554058075,0.7040685812632242,0.5,0.6722198361747761,0.5333333333333333,0.6651554505030314,0.696835532784462,0.6937568038702011,0.23162670557697615,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,3,1.3888201514879863,0.6927387913068136,0.5294117647058824,0.6984428161987988,0.5333333333333333,0.6331350356340408,0.6864486883083979,0.6468889489769936,0.18494165316224098,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,4,1.3567449847857158,0.6887949307759603,0.5399159663865546,0.7074224205508666,0.5777777777777777,0.6440055519342422,0.6508392492930094,0.6369103640317917,0.2299845814704895,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,5,1.3764993647734325,0.691305140654246,0.523109243697479,0.6941674909775456,0.5111111111111111,0.6291779230038325,0.6664651185274124,0.6271772111455599,0.27619014369944733,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,6,1.3346131046613057,0.695142944653829,0.5294117647058824,0.6879787434091333,0.5111111111111111,0.6246642172336578,0.6555511703093847,0.60643852998813,0.24207795162995657,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,7,1.304391433795293,0.6933692693710327,0.5273109243697479,0.687521221146696,0.5111111111111111,0.614423488577207,0.6491601566473643,0.5848125219345093,0.23472912423312664,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,8,1.287415365378062,0.6973482966423035,0.5336134453781513,0.6839272212666562,0.5333333333333333,0.607308641076088,0.6642750998338064,0.5653181547919909,0.19274042112131914,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,9,1.282992382844289,0.6955627997716268,0.5378151260504201,0.6842123002758683,0.5333333333333333,0.6023975412050883,0.646110455195109,0.5611089070638021,0.25257677026093006,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,10,1.26883731285731,0.6913087169329325,0.5651260504201681,0.7031981626308295,0.5555555555555556,0.5921404858430227,0.6418474366267523,0.5622738127907118,0.21572017529979348,2002,global,0.6
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,16,5e-05,0.2,1.0,1.0,0.3,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p3_trmiss60_trlocglobal,11,1.2342713524897893,0.6870259443918864,0.5525210084033614,0.6995417436892261,0.5777777777777777,0.590689813097318,0.6340915312369665,0.5305007559557756,0.2322635610277454,2002,global,0.6
