model_name,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,significant_wins,significant_losses
KNN_MLP,0.6191391688770999,0.06949090070344888,125,0.012070607132331268,0.6067016753446639,0.6308428896093264,0,0
VAE_MLP,0.6150597766643745,0.06787404970445832,125,0.011954906015653133,0.602808507711956,0.6267183197432623,0,0
Di-PAM,0.6129134492582771,0.06688042909140439,125,0.012024526312342465,0.6008358100009824,0.6248848626256673,0,0
SMILe,0.6074793594655663,0.07415447721274197,125,0.013160844385499526,0.5942708903952583,0.6205925791662573,0,0
pAM,0.6059273537020664,0.06876574041511342,125,0.011372003798670427,0.5945535370206635,0.6172975446180043,0,0
HealNet,0.6038753250155551,0.06736484731537747,125,0.011416276320529217,0.5925955653797034,0.6154281180207618,0,0
ZI_MLP,0.6031275632838852,0.07703358937633639,125,0.013209596227527265,0.5895764931067229,0.6159956855617774,0,0
