model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,selected_train_aupmc
Di-MMLP,both,0.0,0.0,,0.5270060606060605,0.14566161946338993,125,0.025456060606060593,0.5014533333333334,0.5523654545454546,
Di-MMLP,both,0.0,0.33,,0.513430303030303,0.1580315874806867,125,0.02670393939393942,0.4867624242424243,0.5401703030303031,
Di-MMLP,both,0.0,0.66,,0.4988606060606061,0.15908353751017348,125,0.027238484848484845,0.4711503030303029,0.5256272727272726,
Di-MMLP,both,0.33,0.0,,0.5114666666666666,0.13859934605066926,125,0.023947272727272623,0.48790000000000006,0.5357945454545453,
Di-MMLP,both,0.33,0.33,,0.4848,0.14860847487829162,125,0.02655181818181812,0.45810181818181817,0.5112054545454544,
Di-MMLP,both,0.33,0.66,,0.48101818181818184,0.15029082266824922,125,0.026194848484848515,0.45473939393939383,0.5071290909090909,
Di-MMLP,both,0.66,0.0,,0.5028363636363636,0.15456306035074777,125,0.026668787878787875,0.4768933333333332,0.530230909090909,
Di-MMLP,both,0.66,0.33,,0.4912242424242425,0.14989990637336764,125,0.02495909090909093,0.46625393939393933,0.5161721212121212,
Di-MMLP,both,0.66,0.66,,0.4431030303030303,0.1516445508048247,125,0.02665545454545451,0.4158527272727273,0.46916363636363634,
Di-PAM,both,0.0,0.0,,0.5364121212121211,0.14622939590717185,125,0.02531000000000011,0.5103757575757575,0.5609957575757577,
Di-PAM,both,0.0,0.33,,0.5079757575757576,0.1373816329933458,125,0.023904242424242356,0.48356181818181815,0.5313703030303029,
Di-PAM,both,0.0,0.66,,0.4947878787878788,0.1409364692392359,125,0.024315151515151484,0.46943030303030303,0.518060606060606,
Di-PAM,both,0.33,0.0,,0.5116848484848484,0.15285996733621546,125,0.025988787878787806,0.4860848484848485,0.5380624242424241,
Di-PAM,both,0.33,0.33,,0.47893333333333327,0.14544938081414238,125,0.025299696969697,0.45362424242424243,0.5042236363636364,
Di-PAM,both,0.33,0.66,,0.4591272727272727,0.16052886246624407,125,0.028425757575757604,0.43141757575757567,0.4882690909090909,
Di-PAM,both,0.66,0.0,,0.4820848484848484,0.14943638298689568,125,0.026025757575757563,0.45665272727272727,0.5087042424242424,
Di-PAM,both,0.66,0.33,,0.471660606060606,0.14330092280695395,125,0.023955757575757547,0.4480163636363636,0.4959278787878787,
Di-PAM,both,0.66,0.66,,0.45604848484848487,0.13334256610706527,125,0.023747575757575745,0.43211757575757576,0.47961272727272725,
HealNet,both,0.0,0.0,,0.5586666666666666,0.14716300737298818,125,0.02515333333333325,0.5327503030303031,0.5830569696969696,
HealNet,both,0.0,0.33,,0.551587878787879,0.1521002700044631,125,0.026837878787878744,0.5255266666666668,0.5792024242424243,
HealNet,both,0.0,0.66,,0.5305212121212121,0.15125842179269144,125,0.02574727272727273,0.5045084848484849,0.5560030303030303,
HealNet,both,0.33,0.0,,0.5445333333333333,0.14273599124944633,125,0.024826666666666664,0.5203624242424242,0.5700157575757575,
HealNet,both,0.33,0.33,,0.49153939393939394,0.14327355179197507,125,0.02527363636363636,0.46588909090909086,0.5164363636363636,
HealNet,both,0.33,0.66,,0.4657696969696969,0.1499968027938141,125,0.025964242424242417,0.440459393939394,0.4923878787878788,
HealNet,both,0.66,0.0,,0.5092121212121211,0.14003232627090528,125,0.024037878787878747,0.48433696969696977,0.5324127272727273,
HealNet,both,0.66,0.33,,0.47393939393939394,0.14759844747599876,125,0.025483030303030285,0.4486490909090909,0.49961515151515146,
HealNet,both,0.66,0.66,,0.453090909090909,0.156292049053343,125,0.02711818181818179,0.4259121212121212,0.48014848484848477,
KNN_MLP,both,0.0,0.0,,0.5511999999999999,0.15107062062181278,125,0.026497878787878737,0.5241690909090909,0.5771648484848484,
KNN_MLP,both,0.0,0.33,,0.5394909090909091,0.14731516873138753,125,0.026073636363636354,0.5134769696969697,0.5656242424242424,
KNN_MLP,both,0.0,0.66,,0.4823272727272727,0.1511146887639449,125,0.026208484848484814,0.4555624242424242,0.5079793939393938,
KNN_MLP,both,0.33,0.0,,0.49839999999999995,0.14018569819061882,125,0.024061212121212122,0.47468969696969693,0.5228121212121212,
KNN_MLP,both,0.33,0.33,,0.4755878787878788,0.14912449454422597,125,0.025409393939393954,0.4493999999999999,0.5002187878787878,
KNN_MLP,both,0.33,0.66,,0.4516363636363637,0.13630084358537256,125,0.02363878787878787,0.4275624242424242,0.47483999999999993,
KNN_MLP,both,0.66,0.0,,0.4636363636363637,0.1436502214382459,125,0.026561515151515114,0.4371333333333333,0.49025636363636355,
KNN_MLP,both,0.66,0.33,,0.46511515151515154,0.15309422317083374,125,0.02646363636363641,0.4386387878787878,0.4915660606060606,
KNN_MLP,both,0.66,0.66,,0.43583030303030296,0.1503513780910083,125,0.026427272727272744,0.4093309090909091,0.46218545454545457,
SMILe,both,0.0,0.0,,0.4850181818181818,0.1390366367196308,125,0.024124545454545426,0.4606745454545455,0.5089236363636364,
SMILe,both,0.0,0.33,,0.4658181818181818,0.1350910533721816,125,0.024376969696969675,0.4410181818181818,0.48977212121212116,
SMILe,both,0.0,0.66,,0.4519515151515152,0.1542397758973111,125,0.026547575757575714,0.42472424242424245,0.4778193939393939,
SMILe,both,0.33,0.0,,0.4974060606060605,0.13519303352566606,125,0.023842727272727238,0.4735024242424243,0.5211878787878788,
SMILe,both,0.33,0.33,,0.47598787878787874,0.12825562143020752,125,0.022057878787878737,0.45415696969696967,0.49827272727272715,
SMILe,both,0.33,0.66,,0.4567030303030303,0.1382817288989804,125,0.024523333333333314,0.4324357575757576,0.4814824242424242,
SMILe,both,0.66,0.0,,0.4950060606060606,0.14340269133411876,125,0.02521272727272733,0.47061696969696964,0.5210424242424243,
