model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,selected_train_aupmc,baseline_auc,raw_degradation_ratio,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-MMLP,envelope,0.0,0.0,0.0,0.5270060606060605,0.1456616194633899,125,0.0254560606060605,0.5014533333333334,0.5523654545454546,0.5131818181818182,0.5270060606060605,1.0,1.0,0.0,1.0,1.0,False
Di-MMLP,envelope,0.0,0.33,0.33,0.513430303030303,0.1580315874806867,125,0.0267039393939394,0.4867624242424243,0.5401703030303031,0.5131818181818182,0.5270060606060605,1.026441286179706,1.026441286179706,0.0563150631348547,0.9701262230448512,1.0827563493145609,False
Di-MMLP,envelope,0.0,0.66,0.66,0.4988606060606061,0.1590835375101734,125,0.0272384848484848,0.4711503030303029,0.5256272727272726,0.5131818181818182,0.5270060606060605,1.056419477111478,1.056419477111478,0.0610133931949368,0.9954060839165412,1.1174328703064147,False
Di-PAM,envelope,0.0,0.0,0.0,0.5364121212121211,0.1462293959071718,125,0.0253100000000001,0.5103757575757575,0.5609957575757577,0.5117878787878788,0.5364121212121211,1.0,1.0,0.0,1.0,1.0,False
Di-PAM,envelope,0.0,0.33,0.33,0.5079757575757576,0.1373816329933458,125,0.0239042424242423,0.4835618181818181,0.5313703030303029,0.5117878787878788,0.5364121212121211,1.0559797651999616,1.0559797651999616,0.0521460063489451,1.0038337588510164,1.1081257715489068,False
Di-PAM,envelope,0.0,0.66,0.66,0.4947878787878788,0.1409364692392359,125,0.0243151515151514,0.469430303030303,0.518060606060606,0.5117878787878788,0.5364121212121211,1.0841254287114157,1.0841254287114157,0.0560301852423121,1.0280952434691035,1.140155613953728,False
HealNet,envelope,0.0,0.0,0.0,0.5586666666666666,0.1471630073729881,125,0.0251533333333332,0.5327503030303031,0.5830569696969696,0.5480909090909092,0.5586666666666666,1.0,1.0,0.0,1.0,1.0,False
HealNet,envelope,0.0,0.33,0.33,0.551587878787879,0.1521002700044631,125,0.0268378787878787,0.5255266666666668,0.5792024242424243,0.5480909090909092,0.5586666666666666,1.0128334725091193,1.0128334725091193,0.0518004801667575,0.9610329923423616,1.0646339526758768,False
HealNet,envelope,0.0,0.66,0.66,0.5305212121212121,0.1512584217926914,125,0.0257472727272727,0.5045084848484849,0.5560030303030303,0.5480909090909092,0.5586666666666666,1.0530524584171084,1.0530524584171084,0.0537136066801389,0.9993388517369696,1.1067660650972473,False
KNN_MLP,envelope,0.0,0.0,0.0,0.5511999999999999,0.1510706206218127,125,0.0264978787878787,0.5241690909090909,0.5771648484848484,0.5281272727272728,0.5511999999999999,1.0,1.0,0.0,1.0,1.0,False
KNN_MLP,envelope,0.0,0.33,0.33,0.5394909090909091,0.1473151687313875,125,0.0260736363636363,0.5134769696969697,0.5656242424242424,0.5281272727272728,0.5511999999999999,1.0217039633324343,1.0217039633324343,0.0518867187107023,0.969817244621732,1.073590682043137,False
KNN_MLP,envelope,0.0,0.66,0.66,0.4823272727272727,0.1511146887639449,125,0.0262084848484848,0.4555624242424242,0.5079793939393938,0.5281272727272728,0.5511999999999999,1.1427925211097707,1.1427925211097707,0.0656646059544174,1.0771279151553532,1.2084571270641882,False
SMILe,envelope,0.66,0.0,0.0,0.4950060606060606,0.1434026913341187,125,0.0252127272727273,0.4706169696969696,0.5210424242424243,0.4816545454545454,0.4950060606060606,1.0,1.0,0.0,1.0,1.0,False
SMILe,envelope,0.66,0.33,0.33,0.4871030303030302,0.1345512798929134,125,0.0242612121212121,0.4636739393939393,0.5121963636363636,0.4816545454545454,0.4950060606060606,1.016224555815458,1.016224555815458,0.0532683922301469,0.9629561635853112,1.069492948045605,False
SMILe,envelope,0.66,0.66,0.66,0.4574060606060606,0.1353406310262659,125,0.0235039393939393,0.4335024242424242,0.480510303030303,0.4816545454545454,0.4950060606060606,1.0822026711893151,1.0822026711893151,0.058621575586071,1.0235810956032445,1.1408242467753864,False
VAE_MLP,envelope,0.0,0.0,0.0,0.5409454545454545,0.1474777906906691,125,0.0251296969696969,0.5164084848484849,0.5666678787878788,0.521969696969697,0.5409454545454545,1.0,1.0,0.0,1.0,1.0,False
VAE_MLP,envelope,0.0,0.33,0.33,0.5338909090909091,0.1403096827509393,125,0.0238581818181817,0.5095478787878788,0.5572642424242423,0.521969696969697,0.5409454545454545,1.0132134586568586,1.0132134586568586,0.0473958427070466,0.965817615949812,1.0606093013639053,False
VAE_MLP,envelope,0.0,0.66,0.66,0.4791515151515151,0.1428139880568128,125,0.0252266666666666,0.4535490909090909,0.5040024242424241,0.521969696969697,0.5409454545454545,1.1289653427776372,1.1289653427776372,0.0627417346187011,1.066223608158936,1.1917070773963383,False
ZI_MLP,envelope,0.0,0.0,0.0,0.5511999999999999,0.1510706206218127,125,0.0266078787878787,0.5247012121212121,0.5779169696969697,0.5226787878787879,0.5511999999999999,1.0,1.0,0.0,1.0,1.0,False
ZI_MLP,envelope,0.0,0.33,0.33,0.5292121212121212,0.1394053078793088,125,0.0243275757575757,0.5055024242424242,0.5541575757575757,0.5226787878787879,0.5511999999999999,1.0415483279890057,1.0415483279890057,0.0501864160478848,0.9913619119411208,1.0917347440368903,False
ZI_MLP,envelope,0.0,0.66,0.66,0.4810909090909091,0.1534125574352195,125,0.0272145454545454,0.4547369696969697,0.5091660606060605,0.5226787878787879,0.5511999999999999,1.1457294028722598,1.1457294028722598,0.0686982346101137,1.077031168262146,1.2144276374823737,False
pAM,envelope,0.0,0.0,0.0,0.5510303030303031,0.143403282103887,125,0.0244487878787878,0.5266181818181819,0.5755157575757576,0.5203757575757575,0.5510303030303031,1.0,1.0,0.0,1.0,1.0,False
pAM,envelope,0.0,0.33,0.33,0.5210181818181817,0.1392428438614857,125,0.023760303030303,0.4973048484848484,0.5448254545454545,0.5203757575757575,0.5510303030303031,1.057602828959613,1.057602828959613,0.0505350740003172,1.007067754959296,1.1081379029599303,False
pAM,envelope,0.0,0.66,0.66,0.4884363636363636,0.1475635150210654,125,0.0248442424242423,0.4631157575757575,0.5128042424242423,0.5203757575757575,0.5510303030303031,1.1281516775858649,1.1281516775858649,0.0604584773700984,1.0676932002157662,1.1886101549559631,False
Di-MMLP,test,0.0,0.0,0.0,0.5270060606060605,0.1456616194633899,125,0.0262803030303029,0.5007484848484849,0.5533090909090909,,0.5270060606060605,1.0,1.0,0.0,1.0,1.0,False
Di-MMLP,test,0.0,0.33,0.33,0.513430303030303,0.1580315874806867,125,0.0272275757575758,0.4860557575757576,0.5405109090909093,,0.5270060606060605,1.026441286179706,1.026441286179706,0.0574811828739183,0.9689601033057876,1.0839224690536244,False
Di-MMLP,test,0.0,0.66,0.66,0.4988606060606061,0.1590835375101734,125,0.0279939393939394,0.4718448484848485,0.5278327272727273,,0.5270060606060605,1.056419477111478,1.056419477111478,0.0628061931548265,0.9936132839566514,1.1192256702663044,False
Di-PAM,test,0.0,0.0,0.0,0.5364121212121211,0.1462293959071718,125,0.0265221212121211,0.5104478787878789,0.5634921212121212,,0.5364121212121211,1.0,1.0,0.0,1.0,1.0,False
Di-PAM,test,0.0,0.33,0.33,0.5079757575757576,0.1373816329933458,125,0.0244369696969696,0.4843387878787879,0.5332127272727273,,0.5364121212121211,1.0559797651999616,1.0559797651999616,0.0533668573642396,1.002612907835722,1.1093466225642012,False
Di-PAM,test,0.0,0.66,0.66,0.4947878787878788,0.1409364692392359,125,0.0242454545454545,0.4702969696969697,0.5187878787878788,,0.5364121212121211,1.0841254287114157,1.0841254287114157,0.0558613048456009,1.0282641238658148,1.1399867335570166,False
HealNet,test,0.0,0.0,0.0,0.5586666666666666,0.1471630073729881,125,0.0249745454545453,0.533599393939394,0.5835484848484848,,0.5586666666666666,1.0,1.0,0.0,1.0,1.0,False
HealNet,test,0.0,0.33,0.33,0.551587878787879,0.1521002700044631,125,0.0261366666666666,0.5264690909090909,0.5787424242424242,,0.5586666666666666,1.0128334725091193,1.0128334725091193,0.0503797312655294,0.9624537412435898,1.063213203774649,False
HealNet,test,0.0,0.66,0.66,0.5305212121212121,0.1512584217926914,125,0.0257981818181818,0.5058618181818181,0.5574581818181819,,0.5586666666666666,1.0530524584171084,1.0530524584171084,0.053825241083248,0.9992272173338604,1.1068776995003564,False
KNN_MLP,test,0.0,0.0,0.0,0.5511999999999999,0.1510706206218127,125,0.0262678787878787,0.5248957575757576,0.5774315151515151,,0.5511999999999999,1.0,1.0,0.0,1.0,1.0,False
KNN_MLP,test,0.0,0.33,0.33,0.5394909090909091,0.1473151687313875,125,0.026429090909091,0.5133533333333332,0.5662115151515152,,0.5511999999999999,1.0217039633324343,1.0217039633324343,0.0526305134628481,0.969073449869586,1.0743344767952825,False
KNN_MLP,test,0.0,0.66,0.66,0.4823272727272727,0.1511146887639449,125,0.0266842424242424,0.45604,0.5094084848484849,,0.5511999999999999,1.1427925211097707,1.1427925211097707,0.0669264109090475,1.0758661102007232,1.2097189320188182,False
SMILe,test,0.0,0.0,0.0,0.4850181818181818,0.1390366367196308,125,0.0250518181818181,0.4609824242424242,0.5110860606060605,,0.4850181818181818,1.0,1.0,0.0,1.0,1.0,False
SMILe,test,0.0,0.33,0.33,0.4658181818181818,0.1350910533721816,125,0.0237227272727272,0.4414775757575757,0.4889230303030302,,0.4850181818181818,1.041217798594848,1.041217798594848,0.055871476654224,0.9853463219406238,1.097089275249072,False
SMILe,test,0.0,0.66,0.66,0.4519515151515152,0.1542397758973111,125,0.0262751515151514,0.42572,0.4782703030303029,,0.4850181818181818,1.0731641903127176,1.0731641903127176,0.0662417604309113,1.0069224298818062,1.139405950743629,False
VAE_MLP,test,0.0,0.0,0.0,0.5409454545454545,0.1474777906906691,125,0.0254963636363635,0.5146333333333335,0.5656260606060606,,0.5409454545454545,1.0,1.0,0.0,1.0,1.0,False
VAE_MLP,test,0.0,0.33,0.33,0.5338909090909091,0.1403096827509393,125,0.0241133333333333,0.5112721212121212,0.5594987878787879,,0.5409454545454545,1.0132134586568586,1.0132134586568586,0.0479266939706093,0.9652867646862492,1.061140152627468,False
VAE_MLP,test,0.0,0.66,0.66,0.4791515151515151,0.1428139880568128,125,0.0253948484848484,0.4540599999999999,0.5048496969696968,,0.5409454545454545,1.1289653427776372,1.1289653427776372,0.0631834327307949,1.0657819100468422,1.192148775508432,False
ZI_MLP,test,0.0,0.0,0.0,0.5511999999999999,0.1510706206218127,125,0.0273721212121211,0.5237078787878788,0.5784521212121212,,0.5511999999999999,1.0,1.0,0.0,1.0,1.0,False
ZI_MLP,test,0.0,0.33,0.33,0.5292121212121212,0.1394053078793088,125,0.0236754545454545,0.505280606060606,0.5526315151515151,,0.5511999999999999,1.0415483279890057,1.0415483279890057,0.0487781237685323,0.9927702042204734,1.090326451757538,False
