model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
Di-MMLP,both,0.0,0.0,0.0,0.0,0.6418944193061838,0.08335349210284113,125
Di-MMLP,both,0.0,0.25,0.0,0.25,0.620081447963801,0.10370264991838482,125
Di-MMLP,both,0.0,0.5,0.0,0.5,0.6130256410256408,0.10724223101179368,125
Di-MMLP,both,0.0,0.75,0.0,0.75,0.6160693815987932,0.1162483266019002,125
Di-MMLP,both,0.25,0.0,0.25,0.0,0.6384947209653091,0.0922491576301423,125
Di-MMLP,both,0.25,0.25,0.25,0.25,0.6181417797888387,0.094344498320472,125
Di-MMLP,both,0.25,0.5,0.25,0.5,0.5948657616892911,0.09733975584612493,125
Di-MMLP,both,0.25,0.75,0.25,0.75,0.6208084464555053,0.10531499355506903,125
Di-MMLP,both,0.5,0.0,0.5,0.0,0.6384253393665158,0.10058295917793166,125
Di-MMLP,both,0.5,0.25,0.5,0.25,0.6207963800904976,0.11063222525274452,125
Di-MMLP,both,0.5,0.5,0.5,0.5,0.6150588235294117,0.1018153195110082,125
Di-MMLP,both,0.5,0.75,0.5,0.75,0.6425972850678733,0.11344893059155346,125
Di-MMLP,both,0.75,0.0,0.75,0.0,0.6297948717948716,0.11854284987031807,125
Di-MMLP,both,0.75,0.25,0.75,0.25,0.610392156862745,0.11409750195617706,125
Di-MMLP,both,0.75,0.5,0.75,0.5,0.6061447963800904,0.10677780279682748,125
Di-MMLP,both,0.75,0.75,0.75,0.75,0.6211161387631975,0.10458620198414097,125
Di-PAM,both,0.0,0.0,0.0,0.0,0.6346696832579187,0.10029635114134543,125
Di-PAM,both,0.0,0.25,0.0,0.25,0.6180301659125188,0.10152518537144004,125
Di-PAM,both,0.0,0.5,0.0,0.5,0.6142141779788838,0.10337843886090027,125
Di-PAM,both,0.0,0.75,0.0,0.75,0.6144283559577677,0.10956277742673573,125
Di-PAM,both,0.25,0.0,0.25,0.0,0.6165067873303168,0.09891221819890218,125
Di-PAM,both,0.25,0.25,0.25,0.25,0.5982413273001508,0.09763418884920863,125
Di-PAM,both,0.25,0.5,0.25,0.5,0.5874087481146305,0.10161686135030397,125
Di-PAM,both,0.25,0.75,0.25,0.75,0.5903529411764706,0.10093922921482008,125
Di-PAM,both,0.5,0.0,0.5,0.0,0.6309502262443438,0.10705074198963149,125
Di-PAM,both,0.5,0.25,0.5,0.25,0.6136319758672699,0.11339267533059702,125
Di-PAM,both,0.5,0.5,0.5,0.5,0.5967903469079939,0.11061238742139015,125
Di-PAM,both,0.5,0.75,0.5,0.75,0.6150829562594267,0.11696358609774413,125
Di-PAM,both,0.75,0.0,0.75,0.0,0.6126817496229261,0.12786770330690506,125
Di-PAM,both,0.75,0.25,0.75,0.25,0.6103046757164404,0.128315962706592,125
Di-PAM,both,0.75,0.5,0.75,0.5,0.6132368024132729,0.11817551054936122,125
Di-PAM,both,0.75,0.75,0.75,0.75,0.6248084464555053,0.1049747079120884,125
HealNet,both,0.0,0.0,0.0,0.0,0.6475324283559578,0.0794111522457648,125
HealNet,both,0.0,0.25,0.0,0.25,0.6116440422322774,0.08404272273064091,125
HealNet,both,0.0,0.5,0.0,0.5,0.6081598793363499,0.09596412508707662,125
HealNet,both,0.0,0.75,0.0,0.75,0.5847330316742081,0.09367163535268543,125
HealNet,both,0.25,0.0,0.25,0.0,0.6159336349924583,0.08141695043776055,125
HealNet,both,0.25,0.25,0.25,0.25,0.5784042232277525,0.09461124827456642,125
HealNet,both,0.25,0.5,0.25,0.5,0.566425339366516,0.09617558805252391,125
HealNet,both,0.25,0.75,0.25,0.75,0.5714298642533936,0.09086776201224019,125
HealNet,both,0.5,0.0,0.5,0.0,0.6333393665158371,0.09469478344905015,125
HealNet,both,0.5,0.25,0.5,0.25,0.5883921568627449,0.10003377124354017,125
HealNet,both,0.5,0.5,0.5,0.5,0.5828054298642533,0.10524567209588122,125
HealNet,both,0.5,0.75,0.5,0.75,0.602389140271493,0.1148444879303376,125
HealNet,both,0.75,0.0,0.75,0.0,0.6085128205128204,0.10462543219426992,125
HealNet,both,0.75,0.25,0.75,0.25,0.5844102564102565,0.10951752653962746,125
HealNet,both,0.75,0.5,0.75,0.5,0.5817556561085974,0.11356582733008376,125
HealNet,both,0.75,0.75,0.75,0.75,0.6079849170437406,0.11509759382445608,125
KNN_MLP,both,0.0,0.0,0.0,0.0,0.6427300150829564,0.08531427136718146,125
KNN_MLP,both,0.0,0.25,0.0,0.25,0.611707390648567,0.09097942516784023,125
KNN_MLP,both,0.0,0.5,0.0,0.5,0.6184012066365007,0.0951006064783707,125
KNN_MLP,both,0.0,0.75,0.0,0.75,0.6316983408748115,0.09847804565099819,125
KNN_MLP,both,0.25,0.0,0.25,0.0,0.6223107088989444,0.10326673653741192,125
KNN_MLP,both,0.25,0.25,0.25,0.25,0.5988597285067874,0.10623416397617456,125
KNN_MLP,both,0.25,0.5,0.25,0.5,0.612389140271493,0.10464146965654085,125
KNN_MLP,both,0.25,0.75,0.25,0.75,0.636868778280543,0.09759120583510825,125
KNN_MLP,both,0.5,0.0,0.5,0.0,0.6506455505279035,0.09782030134621018,125
KNN_MLP,both,0.5,0.25,0.5,0.25,0.6088295625942682,0.10782168690604964,125
KNN_MLP,both,0.5,0.5,0.5,0.5,0.6164675716440422,0.10202929505473571,125
KNN_MLP,both,0.5,0.75,0.5,0.75,0.662265460030166,0.111843873623269,125
KNN_MLP,both,0.75,0.0,0.75,0.0,0.6125912518853694,0.11436642475990143,125
KNN_MLP,both,0.75,0.25,0.75,0.25,0.5973604826546001,0.12110976440593087,125
KNN_MLP,both,0.75,0.5,0.75,0.5,0.58694419306184,0.10796770325319432,125
KNN_MLP,both,0.75,0.75,0.75,0.75,0.6322383107088989,0.1053957550294565,125
SMILe,both,0.0,0.0,0.0,0.0,0.6392639517345399,0.07763998339172976,125
SMILe,both,0.0,0.25,0.0,0.25,0.6176229260935142,0.08802302886338878,125
SMILe,both,0.0,0.5,0.0,0.5,0.609577677224736,0.09142553001382785,125
SMILe,both,0.0,0.75,0.0,0.75,0.602446455505279,0.10657915451333332,125
SMILe,both,0.25,0.0,0.25,0.0,0.6304313725490197,0.0933425973947545,125
SMILe,both,0.25,0.25,0.25,0.25,0.5978129713423831,0.09442318108975231,125
SMILe,both,0.25,0.5,0.25,0.5,0.5801749622926092,0.10359921617596803,125
SMILe,both,0.25,0.75,0.25,0.75,0.5969864253393665,0.10691622758898443,125
SMILe,both,0.5,0.0,0.5,0.0,0.6349351432880844,0.10218113803774483,125
SMILe,both,0.5,0.25,0.5,0.25,0.5961236802413272,0.09926174549095561,125
SMILe,both,0.5,0.5,0.5,0.5,0.5834177978883861,0.10132104977038237,125
SMILe,both,0.5,0.75,0.5,0.75,0.6047269984917045,0.1219782540612736,125
SMILe,both,0.75,0.0,0.75,0.0,0.6232036199095021,0.10262511681477102,125
SMILe,both,0.75,0.25,0.75,0.25,0.5997586726998491,0.11112887888324481,125
SMILe,both,0.75,0.5,0.75,0.5,0.59857616892911,0.10208549753516523,125
SMILe,both,0.75,0.75,0.75,0.75,0.6376349924585218,0.11261749535868765,125
VAE_MLP,both,0.0,0.0,0.0,0.0,0.633478129713424,0.09652028794823905,125
VAE_MLP,both,0.0,0.25,0.0,0.25,0.6148386123680238,0.09591391593496706,125
VAE_MLP,both,0.0,0.5,0.0,0.5,0.6181779788838612,0.09891558732579356,125
VAE_MLP,both,0.0,0.75,0.0,0.75,0.6140784313725491,0.11237851934253903,125
VAE_MLP,both,0.25,0.0,0.25,0.0,0.6197737556561086,0.09705495177447317,125
VAE_MLP,both,0.25,0.25,0.25,0.25,0.6070739064856712,0.1008279395449201,125
VAE_MLP,both,0.25,0.5,0.25,0.5,0.5926184012066364,0.10333714522826334,125
VAE_MLP,both,0.25,0.75,0.25,0.75,0.6082171945701358,0.11309689397911425,125
VAE_MLP,both,0.5,0.0,0.5,0.0,0.638974358974359,0.10843418201854463,125
VAE_MLP,both,0.5,0.25,0.5,0.25,0.6181960784313725,0.11498972833168017,125
VAE_MLP,both,0.5,0.5,0.5,0.5,0.6132217194570138,0.10419125826220366,125
VAE_MLP,both,0.5,0.75,0.5,0.75,0.6325128205128205,0.1049691125927088,125
VAE_MLP,both,0.75,0.0,0.75,0.0,0.62615987933635,0.10661347830004833,125
VAE_MLP,both,0.75,0.25,0.75,0.25,0.6040663650075414,0.10880143640226564,125
VAE_MLP,both,0.75,0.5,0.75,0.5,0.61252790346908,0.10068964630843785,125
VAE_MLP,both,0.75,0.75,0.75,0.75,0.636371040723982,0.09307046745247459,125
ZI_MLP,both,0.0,0.0,0.0,0.0,0.6427300150829564,0.08531427136718146,125
ZI_MLP,both,0.0,0.25,0.0,0.25,0.6198009049773755,0.09201800684291178,125
ZI_MLP,both,0.0,0.5,0.0,0.5,0.6132850678733032,0.09439248079120599,125
