model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,selected_train_aupmc,baseline_auc,raw_degradation_ratio,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-MMLP,envelope,0.5,0.0,0.0,0.6384253393665158,0.1005829591779316,125,0.0177832956259426,0.6197797888386124,0.6553463800904977,0.6254555052790346,0.6384253393665158,1.0,1.0,0.0,1.0,1.0,False
Di-MMLP,envelope,0.5,0.25,0.25,0.6207963800904976,0.1106322252527445,125,0.0195349547511312,0.6012849170437405,0.640354826546003,0.6254555052790346,0.6384253393665158,1.0283973293682032,1.0283973293682032,0.0334125797011723,0.9949847496670308,1.0618099090693756,False
Di-MMLP,envelope,0.5,0.5,0.5,0.6150588235294117,0.1018153195110082,125,0.017245286576169,0.5979478129713423,0.6324383861236803,0.6254555052790346,0.6384253393665158,1.0379907009593314,1.0379907009593314,0.0299431946500774,1.008047506309254,1.0679338956094089,False
Di-MMLP,envelope,0.5,0.75,0.75,0.6425972850678733,0.1134489305915534,125,0.0193934766214178,0.6224524132730015,0.6612393665158371,0.6254555052790346,0.6384253393665158,0.9935076823411776,0.9935076823411776,0.0309169612726106,0.9625907210685668,1.0244246436137885,False
Di-PAM,envelope,0.0,0.0,0.0,0.6346696832579187,0.1002963511413454,125,0.0178386500754146,0.6166141025641025,0.6522914027149319,0.6189311211664152,0.6346696832579187,1.0,1.0,0.0,1.0,1.0,False
Di-PAM,envelope,0.0,0.25,0.25,0.6180301659125188,0.10152518537144,125,0.0177021870286576,0.600578205128205,0.6359825791855203,0.6189311211664152,0.6346696832579187,1.0269234711558646,1.0269234711558646,0.03028143279998,0.9966420383558844,1.0572049039558449,False
Di-PAM,envelope,0.0,0.5,0.5,0.6142141779788838,0.1033784388609002,125,0.0186301659125187,0.5951112368024135,0.6323715686274509,0.6189311211664152,0.6346696832579187,1.0333035381018805,1.0333035381018805,0.0323222517106209,1.0009812863912595,1.0656257898125014,False
Di-PAM,envelope,0.0,0.75,0.75,0.6144283559577677,0.1095627774267356,125,0.0187136123680241,0.5955140271493213,0.6329412518853695,0.6189311211664152,0.6346696832579187,1.0329433482421218,1.0329433482421218,0.0324485865510895,1.0004947616910322,1.0653919347932113,False
HealNet,envelope,0.0,0.0,0.0,0.6475324283559578,0.0794111522457648,125,0.0141247737556559,0.6335500754147814,0.6617996229260933,0.6119788838612368,0.6475324283559578,1.0,1.0,0.0,1.0,1.0,False
HealNet,envelope,0.0,0.25,0.25,0.6116440422322774,0.0840427227306408,125,0.0150761689291101,0.5960474358974358,0.626199773755656,0.6119788838612368,0.6475324283559578,1.0586752811205369,1.0586752811205369,0.0267543193214081,1.0319209617991287,1.085429600441945,False
HealNet,envelope,0.0,0.5,0.5,0.6081598793363499,0.0959641250870766,125,0.0170062594268477,0.590888838612368,0.6249013574660635,0.6119788838612368,0.6475324283559578,1.064740457825947,1.064740457825947,0.0306303671976511,1.0341100906282958,1.095370825023598,False
HealNet,envelope,0.0,0.75,0.75,0.5847330316742081,0.0936716353526854,125,0.0156200980392157,0.5690006787330315,0.600240874811463,0.6119788838612368,0.6475324283559578,1.1073984079571193,1.1073984079571193,0.0303940934715354,1.077004314485584,1.1377925014286547,False
KNN_MLP,envelope,0.5,0.0,0.0,0.6506455505279035,0.0978203013462102,125,0.0173863122171946,0.6333785067873302,0.6681511312217194,0.6272508798391151,0.6506455505279035,1.0,1.0,0.0,1.0,1.0,False
KNN_MLP,envelope,0.5,0.25,0.25,0.6088295625942682,0.1078216869060496,125,0.0187475490196078,0.5898722473604826,0.6273673453996983,0.6272508798391151,0.6506455505279035,1.068682584589773,1.068682584589773,0.033953211045405,1.034729373544368,1.102635795635178,False
