model_name,top_equivalent_group_count,top_equivalent_group_fraction,n_condition_cells_with_top_group
KNN_MLP,6,0.8571428571428571,7
Di-MMLP,3,0.42857142857142855,7
HealNet,1,0.14285714285714285,7
VAE_MLP,1,0.14285714285714285,7
ZI_MLP,1,0.14285714285714285,7
