model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.0,2002,3,1,2002|outer_3|inner_1,56,0.632183908045977
Di-MMLP,0.0,0.0,2002,3,2,2002|outer_3|inner_2,56,0.46232439335887615
Di-MMLP,0.0,0.0,2002,3,3,2002|outer_3|inner_3,56,0.5568326947637292
Di-MMLP,0.0,0.0,2002,3,4,2002|outer_3|inner_4,56,0.6832694763729247
Di-MMLP,0.0,0.0,2002,3,5,2002|outer_3|inner_5,56,0.6871008939974458
Di-MMLP,0.0,0.0,2002,4,1,2002|outer_4|inner_1,56,0.48786717752235
Di-MMLP,0.0,0.0,2002,4,2,2002|outer_4|inner_2,56,0.5849297573435503
Di-MMLP,0.0,0.0,2002,4,3,2002|outer_4|inner_3,56,0.5006385696040869
Di-MMLP,0.0,0.0,2002,4,4,2002|outer_4|inner_4,56,0.6475095785440613
Di-MMLP,0.0,0.0,2002,4,5,2002|outer_4|inner_5,56,0.5542784163473818
Di-MMLP,0.0,0.0,2002,5,1,2002|outer_5|inner_1,56,0.7051282051282051
Di-MMLP,0.0,0.0,2002,5,2,2002|outer_5|inner_2,56,0.5217948717948718
Di-MMLP,0.0,0.0,2002,5,3,2002|outer_5|inner_3,56,0.617948717948718
Di-MMLP,0.0,0.0,2002,5,4,2002|outer_5|inner_4,56,0.5564102564102564
Di-MMLP,0.0,0.0,2002,5,5,2002|outer_5|inner_5,56,0.6269230769230769
Di-MMLP,0.0,0.0,18473,1,1,18473|outer_1|inner_1,57,0.6271604938271604
Di-MMLP,0.0,0.0,18473,1,2,18473|outer_1|inner_2,57,0.5802469135802469
Di-MMLP,0.0,0.0,18473,1,3,18473|outer_1|inner_3,57,0.5604938271604938
Di-MMLP,0.0,0.0,18473,1,4,18473|outer_1|inner_4,57,0.6469135802469136
Di-MMLP,0.0,0.0,18473,1,5,18473|outer_1|inner_5,57,0.519753086419753
Di-MMLP,0.0,0.0,18473,2,1,18473|outer_2|inner_1,56,0.7241379310344828
Di-MMLP,0.0,0.0,18473,2,2,18473|outer_2|inner_2,56,0.5759897828863345
Di-MMLP,0.0,0.0,18473,2,3,18473|outer_2|inner_3,56,0.6807151979565773
Di-MMLP,0.0,0.0,18473,2,4,18473|outer_2|inner_4,56,0.578544061302682
Di-MMLP,0.0,0.0,18473,2,5,18473|outer_2|inner_5,56,0.5849297573435505
Di-MMLP,0.0,0.0,18473,3,1,18473|outer_3|inner_1,56,0.6500638569604088
Di-MMLP,0.0,0.0,18473,3,2,18473|outer_3|inner_2,56,0.7177522349936143
Di-MMLP,0.0,0.0,18473,3,3,18473|outer_3|inner_3,56,0.6270753512132823
Di-MMLP,0.0,0.0,18473,3,4,18473|outer_3|inner_4,56,0.6270753512132823
Di-MMLP,0.0,0.0,18473,3,5,18473|outer_3|inner_5,56,0.6079182630906769
Di-MMLP,0.0,0.0,18473,4,1,18473|outer_4|inner_1,56,0.5108556832694764
Di-MMLP,0.0,0.0,18473,4,2,18473|outer_4|inner_2,56,0.6424010217113665
Di-MMLP,0.0,0.0,18473,4,3,18473|outer_4|inner_3,56,0.685823754789272
Di-MMLP,0.0,0.0,18473,4,4,18473|outer_4|inner_4,56,0.5772669220945084
Di-MMLP,0.0,0.0,18473,4,5,18473|outer_4|inner_5,56,0.5721583652618136
Di-MMLP,0.0,0.0,18473,5,1,18473|outer_5|inner_1,56,0.6282051282051282
Di-MMLP,0.0,0.0,18473,5,2,18473|outer_5|inner_2,56,0.6307692307692307
Di-MMLP,0.0,0.0,18473,5,3,18473|outer_5|inner_3,56,0.6461538461538463
Di-MMLP,0.0,0.0,18473,5,4,18473|outer_5|inner_4,56,0.6474358974358975
Di-MMLP,0.0,0.0,18473,5,5,18473|outer_5|inner_5,56,0.4307692307692308
Di-MMLP,0.0,0.0,55602,1,1,55602|outer_1|inner_1,57,0.6604938271604939
Di-MMLP,0.0,0.0,55602,1,2,55602|outer_1|inner_2,57,0.5308641975308642
Di-MMLP,0.0,0.0,55602,1,3,55602|outer_1|inner_3,57,0.6135802469135803
Di-MMLP,0.0,0.0,55602,1,4,55602|outer_1|inner_4,57,0.6086419753086421
