model_name,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,significant_wins,significant_losses
ZI_MLP,0.6146201002063072,0.0774992752426008,25,0.02939518453024198,0.584832142974097,0.643622512034581,0,0
KNN_MLP,0.6134337033762322,0.07920762060169587,20,0.03517942475521496,0.5787005456495401,0.64905939515997,0,0
