outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,smil_e_latent_dim,smil_e_num_priors,smil_e_num_heads,smil_e_dropout,classifier_hidden_dim,smil_e_alpha,smil_e_beta,meta_inner_lr,meta_val_fraction,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,val_cindex,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,degrading_modality,train_missing_prop
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,11,0.5115881895317751,0.7201093236605326,0.5474308300395258,0.5775157581137823,0.6,0.0,0.0,0.0,0.0,0.0,0.5115881895317751,0.36106015128247876,0.3555217297638164,0.6873511251281289,0.48510701866710887,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,12,0.49045620245092053,0.7279332180817922,0.5474308300395256,0.576373060231954,0.6,0.0,0.0,0.0,0.0,0.0,0.49045620245092053,0.33880113240550547,0.33310582532602195,0.699712732258965,0.4995597110075109,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,13,0.4781875978497898,0.7319293717543284,0.5513833992094862,0.579593672148218,0.6,0.0,0.0,0.0,0.0,0.0,0.4781875978497898,0.3229772983228459,0.31715700117980733,0.710693268214955,0.51096052106689,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,14,0.46858060184647055,0.7361643612384796,0.5434782608695652,0.5715104874977938,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.46858060184647055,0.31281132119543414,0.30689800048575683,0.7180919717339909,0.5195230368305656,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,15,0.45669852635439706,0.7408319314320883,0.5434782608695652,0.5696471334605265,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.45669852635439706,0.3039185501196805,0.2979117018335006,0.7244331310777103,0.5282419569352094,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,16,0.4517730264102711,0.7451542615890503,0.5474308300395256,0.5745815710036598,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.4517730264102711,0.295233601156403,0.2891315055244109,0.7307717905325049,0.5371323753805721,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,17,0.4422460426302517,0.7502461771170298,0.5454545454545454,0.5727182169663926,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.4422460426302517,0.2867205905563691,0.28053149317993836,0.7360877289491541,0.5453015618464526,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,18,0.43138374826487375,0.7566683193047842,0.5434782608695653,0.5741894510463224,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.43138374826487375,0.27840790327857523,0.2721235629390268,0.742531467886532,0.5541807974086088,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,19,0.4236147421247819,0.7622643311818441,0.5434782608695652,0.5751962305697259,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.4236147421247819,0.27049776473466086,0.26411451311672435,0.7493950058432186,0.5633859266253078,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,20,0.41392021845368776,0.7643550535043081,0.5434782608695652,0.5747892100540098,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.41392021845368776,0.2645324030343224,0.25807473063468933,0.754044655491324,0.5703629711095024,2002,global,0.2
1,1,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,8,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,0.0005,0.25,lr5e-05_bs8_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-04_mvf0p25__wd1e-04trmiss20_degmodglobal,21,0.410795378334382,0.7666735251744589,0.5434782608695652,0.5747892100540098,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.410795378334382,0.2609134640763788,0.25440334309549895,0.7571800947189331,0.5752939476686365,2002,global,0.2
