
Outer fold 1

Inner fold 1
E28 | T-Loss: 0.5146 | V-Loss: 0.6681 | T-AUC: 0.881 | V-AUC: 0.569
E29 | T-Loss: 0.4962 | V-Loss: 0.6640 | T-AUC: 0.910 | V-AUC: 0.567
E30 | T-Loss: 0.4959 | V-Loss: 0.6703 | T-AUC: 0.917 | V-AUC: 0.559
E31 | T-Loss: 0.4988 | V-Loss: 0.6644 | T-AUC: 0.915 | V-AUC: 0.571
E32 | T-Loss: 0.5118 | V-Loss: 0.6636 | T-AUC: 0.892 | V-AUC: 0.580
E33 | T-Loss: 0.4813 | V-Loss: 0.6645 | T-AUC: 0.931 | V-AUC: 0.561
Early stopping triggered at epoch 33.

Inner fold 3
E1 | T-Loss: 0.7322 | V-Loss: 0.7137 | T-AUC: 0.485 | V-AUC: 0.323
E2 | T-Loss: 0.7003 | V-Loss: 0.7270 | T-AUC: 0.572 | V-AUC: 0.345
E3 | T-Loss: 0.6914 | V-Loss: 0.7345 | T-AUC: 0.586 | V-AUC: 0.349
E4 | T-Loss: 0.6758 | V-Loss: 0.7281 | T-AUC: 0.679 | V-AUC: 0.394
E5 | T-Loss: 0.6759 | V-Loss: 0.7347 | T-AUC: 0.630 | V-AUC: 0.384
E6 | T-Loss: 0.6492 | V-Loss: 0.7252 | T-AUC: 0.719 | V-AUC: 0.407
E7 | T-Loss: 0.6887 | V-Loss: 0.7219 | T-AUC: 0.613 | V-AUC: 0.416
E8 | T-Loss: 0.6479 | V-Loss: 0.7166 | T-AUC: 0.729 | V-AUC: 0.407
E9 | T-Loss: 0.6423 | V-Loss: 0.7203 | T-AUC: 0.757 | V-AUC: 0.412
E10 | T-Loss: 0.6769 | V-Loss: 0.7263 | T-AUC: 0.639 | V-AUC: 0.403
E11 | T-Loss: 0.6429 | V-Loss: 0.7189 | T-AUC: 0.744 | V-AUC: 0.399
Early stopping triggered at epoch 11.

Inner fold 4
E1 | T-Loss: 0.7437 | V-Loss: 0.7187 | T-AUC: 0.474 | V-AUC: 0.343
E2 | T-Loss: 0.7086 | V-Loss: 0.7374 | T-AUC: 0.575 | V-AUC: 0.394
E3 | T-Loss: 0.6803 | V-Loss: 0.7466 | T-AUC: 0.637 | V-AUC: 0.388
E4 | T-Loss: 0.6709 | V-Loss: 0.7641 | T-AUC: 0.658 | V-AUC: 0.323
E5 | T-Loss: 0.6813 | V-Loss: 0.7691 | T-AUC: 0.654 | V-AUC: 0.349
E6 | T-Loss: 0.6796 | V-Loss: 0.7589 | T-AUC: 0.643 | V-AUC: 0.366
E7 | T-Loss: 0.6520 | V-Loss: 0.7549 | T-AUC: 0.722 | V-AUC: 0.405
E8 | T-Loss: 0.6537 | V-Loss: 0.7660 | T-AUC: 0.725 | V-AUC: 0.377
E9 | T-Loss: 0.6517 | V-Loss: 0.7579 | T-AUC: 0.770 | V-AUC: 0.369
E10 | T-Loss: 0.6102 | V-Loss: 0.7479 | T-AUC: 0.788 | V-AUC: 0.407
E11 | T-Loss: 0.6447 | V-Loss: 0.7584 | T-AUC: 0.734 | V-AUC: 0.394
Early stopping triggered at epoch 11.

Inner fold 5
E1 | T-Loss: 0.7083 | V-Loss: 0.6634 | T-AUC: 0.510 | V-AUC: 0.647
E2 | T-Loss: 0.6967 | V-Loss: 0.6571 | T-AUC: 0.549 | V-AUC: 0.651
E3 | T-Loss: 0.6821 | V-Loss: 0.6513 | T-AUC: 0.567 | V-AUC: 0.642
E4 | T-Loss: 0.6724 | V-Loss: 0.6509 | T-AUC: 0.645 | V-AUC: 0.649
E5 | T-Loss: 0.6494 | V-Loss: 0.6458 | T-AUC: 0.668 | V-AUC: 0.659
E6 | T-Loss: 0.6188 | V-Loss: 0.6428 | T-AUC: 0.759 | V-AUC: 0.692
E7 | T-Loss: 0.6226 | V-Loss: 0.6461 | T-AUC: 0.752 | V-AUC: 0.664
E8 | T-Loss: 0.6417 | V-Loss: 0.6435 | T-AUC: 0.715 | V-AUC: 0.653
E9 | T-Loss: 0.6292 | V-Loss: 0.6554 | T-AUC: 0.755 | V-AUC: 0.614
E10 | T-Loss: 0.6284 | V-Loss: 0.6549 | T-AUC: 0.733 | V-AUC: 0.606
E11 | T-Loss: 0.6182 | V-Loss: 0.6535 | T-AUC: 0.799 | V-AUC: 0.612
E12 | T-Loss: 0.5649 | V-Loss: 0.6492 | T-AUC: 0.849 | V-AUC: 0.647
E13 | T-Loss: 0.5750 | V-Loss: 0.6474 | T-AUC: 0.869 | V-AUC: 0.653
E14 | T-Loss: 0.5635 | V-Loss: 0.6432 | T-AUC: 0.872 | V-AUC: 0.640
E15 | T-Loss: 0.5706 | V-Loss: 0.6514 | T-AUC: 0.840 | V-AUC: 0.640
E16 | T-Loss: 0.5659 | V-Loss: 0.6624 | T-AUC: 0.883 | V-AUC: 0.623
Early stopping triggered at epoch 16.

Outer fold 2

Inner fold 1
E1 | T-Loss: 0.7296 | V-Loss: 0.7186 | T-AUC: 0.521 | V-AUC: 0.443
E2 | T-Loss: 0.7146 | V-Loss: 0.7215 | T-AUC: 0.562 | V-AUC: 0.471
E3 | T-Loss: 0.6897 | V-Loss: 0.7208 | T-AUC: 0.629 | V-AUC: 0.475
E4 | T-Loss: 0.6791 | V-Loss: 0.7119 | T-AUC: 0.640 | V-AUC: 0.450
E5 | T-Loss: 0.6802 | V-Loss: 0.7232 | T-AUC: 0.652 | V-AUC: 0.439
E6 | T-Loss: 0.6659 | V-Loss: 0.7212 | T-AUC: 0.701 | V-AUC: 0.462
E7 | T-Loss: 0.6412 | V-Loss: 0.7176 | T-AUC: 0.750 | V-AUC: 0.468
E8 | T-Loss: 0.6700 | V-Loss: 0.7126 | T-AUC: 0.676 | V-AUC: 0.454
E9 | T-Loss: 0.6241 | V-Loss: 0.7088 | T-AUC: 0.794 | V-AUC: 0.464
E10 | T-Loss: 0.6087 | V-Loss: 0.7073 | T-AUC: 0.790 | V-AUC: 0.471
E11 | T-Loss: 0.6329 | V-Loss: 0.6972 | T-AUC: 0.757 | V-AUC: 0.502
E12 | T-Loss: 0.6205 | V-Loss: 0.7008 | T-AUC: 0.787 | V-AUC: 0.498
E13 | T-Loss: 0.5989 | V-Loss: 0.7027 | T-AUC: 0.816 | V-AUC: 0.492
E14 | T-Loss: 0.6096 | V-Loss: 0.6949 | T-AUC: 0.839 | V-AUC: 0.500
E15 | T-Loss: 0.5806 | V-Loss: 0.7091 | T-AUC: 0.852 | V-AUC: 0.462
E16 | T-Loss: 0.6069 | V-Loss: 0.7111 | T-AUC: 0.829 | V-AUC: 0.489
E17 | T-Loss: 0.6007 | V-Loss: 0.7050 | T-AUC: 0.804 | V-AUC: 0.479
E18 | T-Loss: 0.6005 | V-Loss: 0.6962 | T-AUC: 0.840 | V-AUC: 0.498
E19 | T-Loss: 0.5755 | V-Loss: 0.6934 | T-AUC: 0.843 | V-AUC: 0.504
E20 | T-Loss: 0.5957 | V-Loss: 0.6976 | T-AUC: 0.826 | V-AUC: 0.513
E21 | T-Loss: 0.5982 | V-Loss: 0.7012 | T-AUC: 0.836 | V-AUC: 0.498
E22 | T-Loss: 0.6185 | V-Loss: 0.7103 | T-AUC: 0.795 | V-AUC: 0.489
E23 | T-Loss: 0.5649 | V-Loss: 0.7070 | T-AUC: 0.871 | V-AUC: 0.492
E24 | T-Loss: 0.5561 | V-Loss: 0.7064 | T-AUC: 0.883 | V-AUC: 0.496
E25 | T-Loss: 0.5992 | V-Loss: 0.7067 | T-AUC: 0.835 | V-AUC: 0.513
E26 | T-Loss: 0.5702 | V-Loss: 0.7054 | T-AUC: 0.891 | V-AUC: 0.511
E27 | T-Loss: 0.5639 | V-Loss: 0.7002 | T-AUC: 0.876 | V-AUC: 0.521
E28 | T-Loss: 0.5784 | V-Loss: 0.6971 | T-AUC: 0.841 | V-AUC: 0.527
E29 | T-Loss: 0.5669 | V-Loss: 0.6891 | T-AUC: 0.862 | V-AUC: 0.525
E30 | T-Loss: 0.5834 | V-Loss: 0.6955 | T-AUC: 0.842 | V-AUC: 0.525
E31 | T-Loss: 0.5536 | V-Loss: 0.6931 | T-AUC: 0.906 | V-AUC: 0.519
E32 | T-Loss: 0.5531 | V-Loss: 0.6976 | T-AUC: 0.884 | V-AUC: 0.521
E33 | T-Loss: 0.5511 | V-Loss: 0.6880 | T-AUC: 0.898 | V-AUC: 0.534
E34 | T-Loss: 0.5638 | V-Loss: 0.6937 | T-AUC: 0.898 | V-AUC: 0.519
E35 | T-Loss: 0.5486 | V-Loss: 0.6935 | T-AUC: 0.900 | V-AUC: 0.523
E36 | T-Loss: 0.5678 | V-Loss: 0.6847 | T-AUC: 0.870 | V-AUC: 0.534
E37 | T-Loss: 0.5455 | V-Loss: 0.6937 | T-AUC: 0.887 | V-AUC: 0.527
E38 | T-Loss: 0.5034 | V-Loss: 0.6823 | T-AUC: 0.944 | V-AUC: 0.529
E39 | T-Loss: 0.5245 | V-Loss: 0.6921 | T-AUC: 0.929 | V-AUC: 0.513
E40 | T-Loss: 0.5357 | V-Loss: 0.6908 | T-AUC: 0.907 | V-AUC: 0.513
E41 | T-Loss: 0.5517 | V-Loss: 0.6896 | T-AUC: 0.885 | V-AUC: 0.504
E42 | T-Loss: 0.5314 | V-Loss: 0.6841 | T-AUC: 0.919 | V-AUC: 0.521
E43 | T-Loss: 0.5209 | V-Loss: 0.6856 | T-AUC: 0.917 | V-AUC: 0.538
E44 | T-Loss: 0.5423 | V-Loss: 0.6938 | T-AUC: 0.892 | V-AUC: 0.527
E45 | T-Loss: 0.5427 | V-Loss: 0.6923 | T-AUC: 0.911 | V-AUC: 0.540
E46 | T-Loss: 0.5157 | V-Loss: 0.6902 | T-AUC: 0.927 | V-AUC: 0.523
E47 | T-Loss: 0.5280 | V-Loss: 0.6934 | T-AUC: 0.923 | V-AUC: 0.542
E48 | T-Loss: 0.5436 | V-Loss: 0.7005 | T-AUC: 0.898 | V-AUC: 0.540
Early stopping triggered at epoch 48.

Inner fold 2
E1 | T-Loss: 0.8054 | V-Loss: 0.7120 | T-AUC: 0.478 | V-AUC: 0.571
E2 | T-Loss: 0.7956 | V-Loss: 0.7355 | T-AUC: 0.536 | V-AUC: 0.567
E3 | T-Loss: 0.7732 | V-Loss: 0.7555 | T-AUC: 0.573 | V-AUC: 0.511
E4 | T-Loss: 0.7625 | V-Loss: 0.7692 | T-AUC: 0.602 | V-AUC: 0.532
E5 | T-Loss: 0.7506 | V-Loss: 0.7617 | T-AUC: 0.647 | V-AUC: 0.540
E6 | T-Loss: 0.7235 | V-Loss: 0.7564 | T-AUC: 0.719 | V-AUC: 0.502
E7 | T-Loss: 0.7556 | V-Loss: 0.7712 | T-AUC: 0.659 | V-AUC: 0.485
E8 | T-Loss: 0.7170 | V-Loss: 0.7635 | T-AUC: 0.711 | V-AUC: 0.502
E9 | T-Loss: 0.7078 | V-Loss: 0.7519 | T-AUC: 0.692 | V-AUC: 0.523
E10 | T-Loss: 0.7084 | V-Loss: 0.7608 | T-AUC: 0.764 | V-AUC: 0.502
E11 | T-Loss: 0.7104 | V-Loss: 0.7562 | T-AUC: 0.741 | V-AUC: 0.521
Early stopping triggered at epoch 11.

Inner fold 3
E1 | T-Loss: 0.7573 | V-Loss: 0.6940 | T-AUC: 0.377 | V-AUC: 0.438
E2 | T-Loss: 0.7030 | V-Loss: 0.7112 | T-AUC: 0.509 | V-AUC: 0.448
E3 | T-Loss: 0.6431 | V-Loss: 0.7198 | T-AUC: 0.651 | V-AUC: 0.468
E4 | T-Loss: 0.6404 | V-Loss: 0.7240 | T-AUC: 0.648 | V-AUC: 0.450
E5 | T-Loss: 0.6339 | V-Loss: 0.7260 | T-AUC: 0.683 | V-AUC: 0.444
E6 | T-Loss: 0.6403 | V-Loss: 0.7320 | T-AUC: 0.678 | V-AUC: 0.435
E7 | T-Loss: 0.6244 | V-Loss: 0.7408 | T-AUC: 0.690 | V-AUC: 0.422
E8 | T-Loss: 0.6171 | V-Loss: 0.7329 | T-AUC: 0.713 | V-AUC: 0.431
E9 | T-Loss: 0.6108 | V-Loss: 0.7326 | T-AUC: 0.761 | V-AUC: 0.427
E10 | T-Loss: 0.6056 | V-Loss: 0.7313 | T-AUC: 0.732 | V-AUC: 0.425
E11 | T-Loss: 0.6007 | V-Loss: 0.7313 | T-AUC: 0.745 | V-AUC: 0.425
Early stopping triggered at epoch 11.

Inner fold 4
E1 | T-Loss: 0.6361 | V-Loss: 0.6499 | T-AUC: 0.612 | V-AUC: 0.623
E2 | T-Loss: 0.6544 | V-Loss: 0.6393 | T-AUC: 0.586 | V-AUC: 0.636
E3 | T-Loss: 0.6373 | V-Loss: 0.6224 | T-AUC: 0.598 | V-AUC: 0.698
E4 | T-Loss: 0.6417 | V-Loss: 0.6280 | T-AUC: 0.644 | V-AUC: 0.655
E5 | T-Loss: 0.6002 | V-Loss: 0.6331 | T-AUC: 0.735 | V-AUC: 0.640
E6 | T-Loss: 0.6084 | V-Loss: 0.6301 | T-AUC: 0.722 | V-AUC: 0.651
E7 | T-Loss: 0.6263 | V-Loss: 0.6301 | T-AUC: 0.675 | V-AUC: 0.640
E8 | T-Loss: 0.6022 | V-Loss: 0.6311 | T-AUC: 0.740 | V-AUC: 0.642
E9 | T-Loss: 0.5984 | V-Loss: 0.6334 | T-AUC: 0.761 | V-AUC: 0.634
E10 | T-Loss: 0.5877 | V-Loss: 0.6302 | T-AUC: 0.810 | V-AUC: 0.647
