outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,smil_e_latent_dim,smil_e_num_priors,smil_e_num_heads,smil_e_dropout,classifier_hidden_dim,smil_e_alpha,smil_e_beta,meta_inner_lr,meta_val_fraction,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,val_cindex,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,phase,train_auc,train_aucpr,train_acc,train_cindex,seed,missing_location,train_missing_prop
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,11,0.6675258576869965,0.7242916822433472,0.4666666666666667,0.6333213083213084,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.6675258576869965,0.6726779937744141,0.6663765013217926,0.522855132818222,0.5778645873069763,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,12,0.6832588911056519,0.7237751483917236,0.4666666666666667,0.6333213083213084,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.6832588911056519,0.6674016118049622,0.6611378192901611,0.5237778425216675,0.5740026235580444,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,13,0.6872652471065521,0.7226303815841675,0.4666666666666667,0.6333213083213084,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.6872652471065521,0.6623570322990417,0.656125545501709,0.5248842835426331,0.5706612765789032,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,14,0.6602443754673004,0.7217314839363098,0.4666666666666667,0.6333213083213084,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.6602443754673004,0.657537966966629,0.6513244211673737,0.5259584784507751,0.5687588453292847,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,15,0.6599296927452087,0.7210623025894165,0.4666666666666667,0.6333213083213084,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6599296927452087,0.6533274948596954,0.6471272110939026,0.5269751250743866,0.5673333406448364,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,16,0.6868337392807007,0.7205654382705688,0.4888888888888889,0.6888768638768639,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6868337392807007,0.649226725101471,0.6430386900901794,0.5279772281646729,0.5660047233104706,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,17,0.6571308970451355,0.7199532389640808,0.4888888888888889,0.6888768638768639,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6571308970451355,0.6453981399536133,0.6392204165458679,0.5289875864982605,0.5648739039897919,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,18,0.6742547154426575,0.7189825773239136,0.4888888888888889,0.6888768638768639,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6742547154426575,0.6416540741920471,0.635485976934433,0.530025988817215,0.5638072788715363,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,19,0.6359394788742065,0.7181728482246399,0.4888888888888889,0.6888768638768639,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6359394788742065,0.6382598280906677,0.6321032643318176,0.5310388505458832,0.5625513195991516,,,,,,22,global,0.66
1,1,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,32,5e-05,0.0001,8,2,1,0.2,16,0.001,0.01,5e-05,0.25,lr5e-05_bs32_lat8_pri2_heads1_drop0p2_clf16_alpha0p001_beta0p01_milr5e-05_mvf0p25__wd1e-04trmiss66_trlocglobal,20,0.6800258457660675,0.7177178263664246,0.4888888888888889,0.6888768638768639,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.6800258457660675,0.6349060833454132,0.628760039806366,0.5320273339748383,0.5614021420478821,,,,,,22,global,0.66
