model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
KNN_MLP,both,0.75,0.25,0.75,0.25,0.6257918552036199,0.1216951632264781,25
KNN_MLP,both,0.75,0.5,0.75,0.5,0.6150980392156863,0.09663288483003496,25
KNN_MLP,both,0.75,0.75,0.75,0.75,0.6827300150829562,0.0892282545194513,25
SMILe,both,0.0,0.0,0.0,0.0,0.6573001508295626,0.06677586397510366,25
SMILe,both,0.0,0.25,0.0,0.25,0.6382051282051282,0.08981209440348464,25
SMILe,both,0.0,0.5,0.0,0.5,0.6365007541478129,0.07635575912535125,25
SMILe,both,0.0,0.75,0.0,0.75,0.640392156862745,0.08566376703607655,25
SMILe,both,0.25,0.0,0.25,0.0,0.6650980392156863,0.06081913786231829,25
SMILe,both,0.25,0.25,0.25,0.25,0.6309653092006033,0.06508819925435821,25
SMILe,both,0.25,0.5,0.25,0.5,0.6031825037707391,0.07629318747655246,25
SMILe,both,0.25,0.75,0.25,0.75,0.6346907993966817,0.0978688405305222,25
SMILe,both,0.5,0.0,0.5,0.0,0.6526998491704374,0.09323709798337601,25
SMILe,both,0.5,0.25,0.5,0.25,0.6136500754147813,0.09398902773233915,25
SMILe,both,0.5,0.5,0.5,0.5,0.6155354449472096,0.09283838575502067,25
SMILe,both,0.5,0.75,0.5,0.75,0.6430316742081448,0.12997074989351612,25
SMILe,both,0.75,0.0,0.75,0.0,0.6473453996983409,0.09901722417893731,25
SMILe,both,0.75,0.25,0.75,0.25,0.6211915535444947,0.107998381722015,25
SMILe,both,0.75,0.5,0.75,0.5,0.6299095022624435,0.08588695454556036,25
SMILe,both,0.75,0.75,0.75,0.75,0.6915384615384614,0.10382347764523163,25
VAE_MLP,both,0.0,0.0,0.0,0.0,0.6611915535444948,0.07818929398272152,25
VAE_MLP,both,0.0,0.25,0.0,0.25,0.6389441930618402,0.08003233551491654,25
VAE_MLP,both,0.0,0.5,0.0,0.5,0.6555806938159878,0.0899591317795069,25
VAE_MLP,both,0.0,0.75,0.0,0.75,0.6812518853695324,0.09307519768251483,25
VAE_MLP,both,0.25,0.0,0.25,0.0,0.660030165912519,0.07255799187026628,25
VAE_MLP,both,0.25,0.25,0.25,0.25,0.6420361990950226,0.0654254667933854,25
VAE_MLP,both,0.25,0.5,0.25,0.5,0.6366515837104072,0.08519457617508841,25
VAE_MLP,both,0.25,0.75,0.25,0.75,0.6669984917043742,0.09506820901780104,25
VAE_MLP,both,0.5,0.0,0.5,0.0,0.6653996983408749,0.10475694507489729,25
VAE_MLP,both,0.5,0.25,0.5,0.25,0.6508446455505279,0.11170155402890654,25
VAE_MLP,both,0.5,0.5,0.5,0.5,0.6407843137254902,0.09846587219379171,25
VAE_MLP,both,0.5,0.75,0.5,0.75,0.6741176470588235,0.10625203364038091,25
VAE_MLP,both,0.75,0.0,0.75,0.0,0.6650678733031674,0.10263670056559072,25
VAE_MLP,both,0.75,0.25,0.75,0.25,0.6450980392156863,0.11968879589017606,25
VAE_MLP,both,0.75,0.5,0.75,0.5,0.6483107088989442,0.10534704899055833,25
VAE_MLP,both,0.75,0.75,0.75,0.75,0.6796832579185521,0.09753388640614957,25
ZI_MLP,both,0.0,0.0,0.0,0.0,0.6720663650075415,0.07522834861997019,25
ZI_MLP,both,0.0,0.25,0.0,0.25,0.6533333333333333,0.08531922998411912,25
ZI_MLP,both,0.0,0.5,0.0,0.5,0.6576018099547513,0.09258543321981358,25
ZI_MLP,both,0.0,0.75,0.0,0.75,0.6799245852187029,0.08578118381684549,25
ZI_MLP,both,0.25,0.0,0.25,0.0,0.6679638009049773,0.0770499789940931,25
ZI_MLP,both,0.25,0.25,0.25,0.25,0.6532428355957768,0.08567747865405255,25
ZI_MLP,both,0.25,0.5,0.25,0.5,0.6424434389140272,0.08044478613326601,25
ZI_MLP,both,0.25,0.75,0.25,0.75,0.6705731523378582,0.08795781861885797,25
ZI_MLP,both,0.5,0.0,0.5,0.0,0.6717496229260935,0.09901984716368233,25
ZI_MLP,both,0.5,0.25,0.5,0.25,0.6325942684766215,0.10985266360944555,25
ZI_MLP,both,0.5,0.5,0.5,0.5,0.6294117647058823,0.0858921195094887,25
ZI_MLP,both,0.5,0.75,0.5,0.75,0.6795475113122171,0.11984726694093481,25
ZI_MLP,both,0.75,0.0,0.75,0.0,0.6630769230769231,0.101563926330696,25
ZI_MLP,both,0.75,0.25,0.75,0.25,0.6381297134238312,0.11005497616352522,25
ZI_MLP,both,0.75,0.5,0.75,0.5,0.6457315233785822,0.0974759217005768,25
ZI_MLP,both,0.75,0.75,0.75,0.75,0.7012518853695324,0.07275014740714243,25
pAM,both,0.0,0.0,0.0,0.0,0.6442684766214178,0.0899348275700015,25
