model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc,selected_train_aupmc
Di-MMLP,0.0,0.0,0.6765610859728507,0.6671166415284061
Di-MMLP,0.25,0.0,0.6557918552036199,0.6671166415284061
Di-MMLP,0.5,0.0,0.6728205128205128,0.6671166415284061
Di-MMLP,0.75,0.0,0.6689140271493212,0.6671166415284061
Di-PAM,0.0,0.75,0.6636349924585219,0.6665912518853695
Di-PAM,0.25,0.75,0.6631070889894418,0.6665912518853695
Di-PAM,0.5,0.75,0.6631975867269985,0.6665912518853695
Di-PAM,0.75,0.75,0.6833031674208145,0.6665912518853695
HealNet,0.0,0.0,0.6846153846153846,0.6518099547511312
HealNet,0.25,0.0,0.644524886877828,0.6518099547511312
HealNet,0.5,0.0,0.6540874811463047,0.6518099547511312
HealNet,0.75,0.0,0.6290196078431373,0.6518099547511312
KNN_MLP,0.0,0.5,0.6799396681749623,0.6531422825540473
KNN_MLP,0.25,0.5,0.632684766214178,0.6531422825540473
KNN_MLP,0.5,0.5,0.6380241327300151,0.6531422825540473
KNN_MLP,0.75,0.5,0.6974962292609352,0.6531422825540473
SMILe,0.0,0.0,0.6573001508295626,0.6411840120663649
SMILe,0.25,0.0,0.6382051282051282,0.6411840120663649
SMILe,0.5,0.0,0.6365007541478129,0.6411840120663649
SMILe,0.75,0.0,0.640392156862745,0.6411840120663649
VAE_MLP,0.0,0.75,0.6650678733031674,0.6552614379084968
VAE_MLP,0.25,0.75,0.6450980392156863,0.6552614379084968
VAE_MLP,0.5,0.75,0.6483107088989442,0.6552614379084968
VAE_MLP,0.75,0.75,0.6796832579185521,0.6552614379084968
ZI_MLP,0.0,0.0,0.6720663650075415,0.6623102061337356
ZI_MLP,0.25,0.0,0.6533333333333333,0.6623102061337356
ZI_MLP,0.5,0.0,0.6576018099547513,0.6623102061337356
ZI_MLP,0.75,0.0,0.6799245852187029,0.6623102061337356
pAM,0.0,0.5,0.6601508295625942,0.64210407239819
pAM,0.25,0.5,0.6281447963800905,0.64210407239819
pAM,0.5,0.5,0.6302564102564102,0.64210407239819
pAM,0.75,0.5,0.6756711915535446,0.64210407239819
