model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,selected_train_aupmc
Di-MMLP,both,0.0,0.0,,0.6765610859728507,0.06294887952364804,25,0.023639705882352924,0.6533288084464555,0.7006082202111613,
Di-MMLP,both,0.0,0.25,,0.6557918552036199,0.0954116010117864,25,0.03670588235294109,0.6191387631975868,0.6925505279034689,
Di-MMLP,both,0.0,0.5,,0.6728205128205128,0.09647503753797264,25,0.03633993212669678,0.6348853695324284,0.7075652337858219,
Di-MMLP,both,0.0,0.75,,0.6689140271493212,0.09803833826037343,25,0.037070135746606336,0.6314174208144797,0.7055576923076924,
Di-MMLP,both,0.25,0.0,,0.6749924585218702,0.09005213320457278,25,0.03567383107088984,0.639934766214178,0.7112824283559577,
Di-MMLP,both,0.25,0.25,,0.6517647058823529,0.09328821147669795,25,0.03548717948717944,0.616947963800905,0.6879223227752639,
Di-MMLP,both,0.25,0.5,,0.6293363499245852,0.08620806229520528,25,0.032801093514328805,0.5966191553544494,0.662221342383107,
Di-MMLP,both,0.25,0.75,,0.6929260935143288,0.09156090811446435,25,0.03460143288084461,0.6578125942684767,0.7270154600301659,
Di-MMLP,both,0.5,0.0,,0.6737104072398189,0.09864691814018699,25,0.037248491704374,0.6361685520361992,0.7106655354449471,
Di-MMLP,both,0.5,0.25,,0.6577224736048265,0.10996594682864282,25,0.043061274509803904,0.616104826546003,0.7022273755656108,
Di-MMLP,both,0.5,0.5,,0.6424434389140272,0.10317912101895178,25,0.038364819004524875,0.604524132730015,0.6812537707390648,
Di-MMLP,both,0.5,0.75,,0.6958974358974359,0.1175268010240318,25,0.046478695324283614,0.6470739064856711,0.7400312971342383,
Di-MMLP,both,0.75,0.0,,0.6599547511312217,0.11049209176942724,25,0.04136085972850678,0.6178714177978885,0.700593137254902,
Di-MMLP,both,0.75,0.25,,0.6509049773755656,0.11021787079738085,25,0.041702865761689356,0.6117417043740573,0.695147435897436,
Di-MMLP,both,0.75,0.5,,0.6481297134238311,0.09903968243302894,25,0.03808559577677212,0.6099837858220212,0.6861549773755654,
Di-MMLP,both,0.75,0.75,,0.6766968325791857,0.09759484462885357,25,0.03865818250377079,0.6373601055806938,0.7146764705882354,
Di-PAM,both,0.0,0.0,,0.6592307692307692,0.08838064060246974,25,0.034058446455505265,0.6265757918552036,0.6946926847662142,
Di-PAM,both,0.0,0.25,,0.6442835595776772,0.09801853970397845,25,0.03701414027149319,0.6057609351432881,0.6797892156862745,
Di-PAM,both,0.0,0.5,,0.6492006033182505,0.090419324584405,25,0.03464404223227757,0.6144125188536953,0.6837006033182504,
Di-PAM,both,0.0,0.75,,0.6794720965309202,0.1055023029209612,25,0.04071719457013573,0.6356549773755656,0.7170893665158371,
Di-PAM,both,0.25,0.0,,0.657948717948718,0.08500315053221565,25,0.03258333333333335,0.6257232277526396,0.6908898944193063,
Di-PAM,both,0.25,0.25,,0.6377677224736048,0.101420958160385,25,0.03871342383107085,0.5988039215686275,0.6762307692307692,
