model_name,is_distillation_method,baseline_auc,train_time_aupmc,test_time_aupmc,best_fixed_train_aupmc,best_fixed_train_missing_prop,train_degradation_coefficient,test_degradation_coefficient,minimum_degradation_coefficient,train_time_aupmc_ci95,train_time_aupmc_ci95_lower,train_time_aupmc_ci95_upper,train_time_aupmc_n_bootstrap_valid,test_time_aupmc_ci95,test_time_aupmc_ci95_lower,test_time_aupmc_ci95_upper,test_time_aupmc_n_bootstrap_valid,best_fixed_train_aupmc_ci95,best_fixed_train_aupmc_ci95_lower,best_fixed_train_aupmc_ci95_upper,best_fixed_train_aupmc_n_bootstrap_valid,train_degradation_coefficient_ci95,train_degradation_coefficient_ci95_lower,train_degradation_coefficient_ci95_upper,train_degradation_coefficient_n_bootstrap_valid,test_degradation_coefficient_ci95,test_degradation_coefficient_ci95_lower,test_degradation_coefficient_ci95_upper,test_degradation_coefficient_n_bootstrap_valid,minimum_degradation_coefficient_ci95,minimum_degradation_coefficient_ci95_lower,minimum_degradation_coefficient_ci95_upper,minimum_degradation_coefficient_n_bootstrap_valid
HealNet,False,0.6846153846153846,0.6587933634992458,0.6518099547511312,0.6518099547511312,0.0,0.039626018348828285,0.05102218025968941,0.05102218025968941,0.021349044746103663,0.6381165786827551,0.6808146681749624,2000,0.02529333207642037,0.6255009426847661,0.6760876068376068,2000,0.023686777275012505,0.6294516088486676,0.6768251633986926,2000,0.03780689968055691,0.006836614456432191,0.082450413817546,2000,0.031533830813561106,0.020251359367007005,0.08331902099412922,2000,0.03493435908899911,0.01434980325162219,0.08421852142962041,2000
Di-MMLP,True,0.6765610859728507,,0.6671166415284061,0.6671166415284061,0.0,,0.014315342551906399,0.014315342551906399,,,,0,0.031033371040723956,0.635735294117647,0.6978020361990949,2000,0.029398598541980847,0.6435313599798894,0.7023285570638511,2000,,,,0,0.02011754030250083,0.00039593974409895145,0.04063102034910061,2000,0.02357872866920144,0.0,0.04715745733840288,2000
KNN_MLP,False,0.6720663650075415,0.6648039215686276,0.6513172448466565,0.6531422825540473,0.5,0.01519401227368522,0.03233318930352699,0.04679511185036992,0.03012478004022129,0.6347049396681748,0.6949544997486173,2000,0.030335752890900014,0.6205871669180492,0.6812586726998492,2000,0.02818809703368541,0.6329020864756156,0.6892782805429865,2000,0.02442056472640442,0.0,0.04884112945280884,2000,0.023893991132735038,0.010727711509121522,0.0585156937745916,2000,0.027354709325162204,0.007691847925960379,0.06240126657628479,2000
ZI_MLP,False,0.6720663650075415,0.6690950226244343,0.6623102061337356,0.6623102061337356,0.0,0.004463998474858492,0.016889641667385897,0.016889641667385897,0.02821025012569145,0.6409154725992959,0.6973359728506788,2000,0.028201263197586757,0.633428607340372,0.6898311337355455,2000,0.024292106586224382,0.6448196329813976,0.6934038461538463,2000,0.017261998284131747,0.0,0.03452399656826349,2000,0.025313352534721074,0.0,0.05062670506944215,2000,0.02252658227167545,0.0,0.0450531645433509,2000
VAE_MLP,False,0.6611915535444948,0.6628531925590749,0.6552488687782806,0.6552614379084968,0.75,0.0005865326020719023,0.0144591839601144,0.018934568605913176,0.02876809954751136,0.63379826546003,0.6913344645550528,2000,0.028920563097033614,0.6253173705379588,0.683158496732026,2000,0.029934012066365034,0.6363340874811462,0.6962021116138762,2000,0.018622273150900665,0.0,0.03724454630180133,2000,0.015831232265789696,0.0035359942844603795,0.03519845881603977,2000,0.02027799369658615,0.0,0.0405559873931723,2000
Di-PAM,True,0.6592307692307692,,0.6542785319255908,0.6665912518853695,0.75,,0.012883254453199303,0.00048521550023076604,,,,0,0.03386874685771735,0.6197027400703871,0.6874402337858218,2000,0.03449597787833081,0.6350937657114126,0.7040857214680742,2000,,,,0,0.01747244280426805,0.0,0.0349448856085361,2000,0.015300967870100563,0.0,0.030601935740201126,2000
SMILe,False,0.6573001508295626,0.6567068878833585,0.6411840120663649,0.6411840120663649,0.0,0.004912338127086209,0.02526629638767286,0.02526629638767286,0.02537138637506292,0.632094079939668,0.6828368526897939,2000,0.026351589994972335,0.6145392156862745,0.6672423956762191,2000,0.026679298642533933,0.6202964429361487,0.6736550402212166,2000,0.01704937664735323,0.0,0.03409875329470646,2000,0.029590391109552902,0.0010203752447648811,0.06020115746387068,2000,0.028723562818491147,0.004143558714066834,0.06159068435104913,2000
pAM,False,0.6442684766214178,0.6536098541980895,0.6355052790346908,0.64210407239819,0.5,0.0009575161090312756,0.013919741578317213,0.032795142377792054,0.026769890648567163,0.6283531925590748,0.6818929738562092,2000,0.03710690045248877,0.5977038712921066,0.6719176721970841,2000,0.026318564605329275,0.6232800402212166,0.6759171694318752,2000,0.011800942172764766,0.0,0.023601884345529532,2000,0.026935748331124693,0.0,0.053871496662249385,2000,0.03100289879545259,0.0,0.06200579759090518,2000
