outer_fold,inner_fold,hp_name,batch_size,learning_rate,dyam_dropout,dyam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,missing_location,train_missing_prop
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,1,0.9017158250013987,0.6752233902613322,0.5084033613445378,0.6544728752910073,0.6,0.7418017288049062,0.673833578824997,0.2094423584640026,0.18439886470635733,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,2,0.875832716623942,0.6688504219055176,0.5504201680672269,0.6846033593327117,0.5777777777777777,0.7281317462523779,0.6600866168737411,0.19691501557826996,0.18831080943346024,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,3,0.8444049060344696,0.6675033370653788,0.546218487394958,0.6862853211112697,0.6,0.715012272198995,0.6512606491645178,0.1766022133330504,0.1654203732808431,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,4,0.8378910521666209,0.6639418999354044,0.569327731092437,0.7102549553755583,0.6222222222222222,0.6883241732915243,0.6412437458833059,0.17903468385338783,0.17612621560692787,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,5,0.8399185438950857,0.6605995694796244,0.5945378151260504,0.7246105034740841,0.6222222222222222,0.6932464887698492,0.6356273392836252,0.18432052557667097,0.19970675682028136,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,6,0.8331642349561056,0.6554660797119141,0.6134453781512605,0.7473530756189554,0.6,0.6750502039988836,0.6311818957328796,0.18582114080588022,0.1616120549539725,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,7,0.8180108368396759,0.6527334650357565,0.6239495798319328,0.7585963928222945,0.6222222222222222,0.6599472711483637,0.6261256486177444,0.1758988300959269,0.15986372840901217,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,8,0.809221108754476,0.6556463042894999,0.5987394957983193,0.7473280610823285,0.5555555555555556,0.6835877945025762,0.6190583854913712,0.17506492137908936,0.15097811445593834,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,9,0.8191440105438232,0.653720498085022,0.615546218487395,0.7571406149802495,0.5777777777777777,0.6714500933885574,0.6190445820490519,0.18446753546595573,0.1563188365350167,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,10,0.7920015851656595,0.65473739306132,0.6050420168067228,0.751313603538873,0.5777777777777777,0.6539036383231481,0.603007584810257,0.1748782383898894,0.14115770409504572,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,11,0.7943327178557714,0.6553830901781718,0.5882352941176472,0.7482944180880401,0.6,0.6492999394734701,0.6136230727036794,0.16517983128627142,0.1552981734275818,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,12,0.7818159063657125,0.6542001763979594,0.6050420168067228,0.7576444095403514,0.5777777777777777,0.6382151593764623,0.5912673771381378,0.1750482606391112,0.15500256357093653,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,13,0.8129696796337763,0.654411792755127,0.5903361344537814,0.7601632285282687,0.6,0.6427902380625407,0.6173186202843984,0.18118742480874062,0.14463638824721178,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,14,0.7805783351262411,0.6562694509824117,0.5903361344537815,0.7549736630897098,0.5555555555555556,0.6496840765078863,0.5959977308909098,0.169693889717261,0.14886712407072386,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,15,0.7830753475427628,0.6545345385869344,0.5987394957983194,0.7625232146242237,0.5555555555555556,0.6412189702192942,0.5945097158352534,0.17507017528017363,0.13495449970165888,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,0.8002945731083552,0.651212751865387,0.6071428571428572,0.7621052656426863,0.5777777777777777,0.6276846627394358,0.6087916294733683,0.17583432669440904,0.15668617747724056,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,17,0.7927233427762985,0.6517023046811422,0.615546218487395,0.765580445501156,0.6,0.6204308619101843,0.6134006281693777,0.16432193915049234,0.15000766515731812,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,18,0.7783781538407007,0.6579108834266663,0.5651260504201681,0.7485767379920744,0.5555555555555556,0.6261703471342722,0.5949590255816778,0.170387743661801,0.13031386708219847,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,19,0.7664929380019506,0.6569088101387024,0.5798319327731093,0.7533816704834899,0.5333333333333333,0.6329882442951202,0.5815929720799128,0.16975554699699083,0.15144415758550167,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,20,0.7666971435149511,0.6577072342236837,0.5714285714285714,0.7488795009382959,0.5555555555555556,0.6177583287159601,0.5747214133540789,0.1772886464993159,0.14687089622020721,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,21,0.7720470825831095,0.6582711935043335,0.5945378151260504,0.7614872945888097,0.5555555555555556,0.6180886030197144,0.5902811586856842,0.16903744265437126,0.12728476927926144,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,22,0.7702797949314117,0.6580604116121928,0.5840336134453781,0.7557779148344385,0.5555555555555556,0.6224926064411799,0.5887443125247955,0.169377235074838,0.12158253168066342,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,23,0.7665218561887741,0.6557756463686625,0.6071428571428571,0.768678545144886,0.6,0.6120142936706543,0.5893263866504034,0.16523217409849167,0.11963290286560853,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,24,0.7769809613625208,0.6545233726501465,0.6092436974789917,0.7609774352322071,0.5777777777777777,0.5941141744454702,0.5901465813318888,0.17185263335704803,0.14981743693351746,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,25,0.7623886267344157,0.6548070510228475,0.6134453781512605,0.7719157680310053,0.5777777777777777,0.5952354023853937,0.5784619996945063,0.173055000603199,0.10871612342695396,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss40_trlocblood,26,0.7601659049590429,0.6519913276036581,0.6092436974789915,0.7688650818673401,0.5555555555555556,0.5856676548719406,0.5855688204367956,0.164386335760355,0.10210746837158997,0.0,0.0,0.0,0.0,0.0,18473,blood,0.4
