model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc,selected_train_aupmc
Di-MMLP,0.0,0.0,0.6072498411762779,0.5827948275862069
Di-MMLP,0.2,0.0,0.6081080132298525,0.5827948275862069
Di-MMLP,0.4,0.0,0.5877503356583815,0.5827948275862069
Di-MMLP,0.6,0.0,0.5638208599404003,0.5827948275862069
Di-MMLP,0.8,0.0,0.535750361856109,0.5827948275862069
Di-PAM,0.0,0.0,0.5975439892589318,0.5668218308936699
Di-PAM,0.2,0.0,0.5847044175917739,0.5668218308936699
Di-PAM,0.4,0.0,0.571148521465763,0.5668218308936699
Di-PAM,0.6,0.0,0.548242093198415,0.5668218308936699
Di-PAM,0.8,0.0,0.5288405933785244,0.5668218308936699
HealNet,0.0,0.0,0.6151868225431445,0.5838145954088483
HealNet,0.2,0.0,0.6088933032059468,0.5838145954088483
HealNet,0.4,0.0,0.5869523266856601,0.5838145954088483
HealNet,0.6,0.0,0.564859468841078,0.5838145954088483
HealNet,0.8,0.0,0.5339197432622721,0.5838145954088483
KNN_MLP,0.0,0.2,0.6271268428463833,0.5991886301863314
KNN_MLP,0.2,0.2,0.61351773913613,0.5991886301863314
KNN_MLP,0.4,0.2,0.5968330091364574,0.5991886301863314
KNN_MLP,0.6,0.2,0.5891676851033172,0.5991886301863314
KNN_MLP,0.8,0.2,0.5673453318924584,0.5991886301863314
SMILe,0.0,0.0,0.6233476896879195,0.591553330386089
SMILe,0.2,0.0,0.6151655892851294,0.591553330386089
SMILe,0.4,0.0,0.5948008514261388,0.591553330386089
SMILe,0.6,0.0,0.5710235059108625,0.591553330386089
SMILe,0.8,0.0,0.5470990601565315,0.591553330386089
VAE_MLP,0.0,0.0,0.6097430395913157,0.5864478779840849
VAE_MLP,0.2,0.0,0.6081967842289682,0.5864478779840849
VAE_MLP,0.4,0.0,0.591671022038838,0.5864478779840849
VAE_MLP,0.6,0.0,0.5691108098372465,0.5864478779840849
VAE_MLP,0.8,0.0,0.5438827520712579,0.5864478779840849
ZI_MLP,0.0,0.0,0.6194729541212302,0.5886502472410519
ZI_MLP,0.2,0.0,0.6132137800045847,0.5886502472410519
ZI_MLP,0.4,0.0,0.5899003700428989,0.5886502472410519
ZI_MLP,0.6,0.0,0.5689947408062351,0.5886502472410519
ZI_MLP,0.8,0.0,0.5455112420997478,0.5886502472410519
pAM,0.0,0.0,0.612024521072797,0.5790784867537743
pAM,0.2,0.0,0.6012440907751252,0.5790784867537743
pAM,0.4,0.0,0.5815270393293384,0.5790784867537743
pAM,0.6,0.0,0.5563635327635328,0.5790784867537743
pAM,0.8,0.0,0.5423340472214035,0.5790784867537743
