model_name,top_equivalent_group_count,top_equivalent_group_fraction,n_condition_cells_with_top_group
KNN_MLP,14,0.7777777777777778,18
SMILe,7,0.3888888888888889,18
HealNet,5,0.2777777777777778,18
VAE_MLP,5,0.2777777777777778,18
Di-MMLP,1,0.05555555555555555,18
ZI_MLP,1,0.05555555555555555,18
