model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,selected_train_aupmc
Di-MMLP,both,0.0,0.0,,0.6072498411762779,0.07612738941786301,125,0.013256458394734216,0.5944107083210531,0.6209236251105216,
Di-MMLP,both,0.0,0.2,,0.6081080132298525,0.07325783507928008,125,0.01280845433408656,0.595124100599273,0.6207410092674461,
Di-MMLP,both,0.0,0.4,,0.5877503356583815,0.06986773140166405,125,0.012019585584700454,0.5753186645708487,0.5993578357402496,
Di-MMLP,both,0.0,0.6,,0.5638208599404002,0.060887182889767986,125,0.010604593116547156,0.5536844467367457,0.57489363296984,
Di-MMLP,both,0.0,0.8,,0.535750361856109,0.06141003054394588,125,0.010726205095457964,0.5250684857713592,0.5465208959622752,
Di-MMLP,both,0.2,0.0,,0.6096538232308347,0.06301601366857815,125,0.01061479909617824,0.5990236686642436,0.6202532668566001,
Di-MMLP,both,0.2,0.2,,0.6015441726430233,0.06141653869958141,125,0.010704366178733937,0.5903447378589908,0.6117534702164587,
Di-MMLP,both,0.2,0.4,,0.5815284147100237,0.06421592838578635,125,0.011239077185054236,0.570704788289616,0.5931829426597245,
Di-MMLP,both,0.2,0.6,,0.5538226020892688,0.06149397803807276,125,0.010457898451059322,0.5435834695615156,0.5644992664636342,
Di-MMLP,both,0.2,0.8,,0.5318272128892818,0.06660425866369457,125,0.011549977076988627,0.5201291046926679,0.5432290588466452,
Di-MMLP,both,0.4,0.0,,0.604433546189868,0.07523888007715968,125,0.01319429151521101,0.5909716222942659,0.6173602053246879,
Di-MMLP,both,0.4,0.2,,0.5897722566067394,0.07284209808235664,125,0.012453908291580551,0.5764889617513183,0.6013967783344794,
Di-MMLP,both,0.4,0.4,,0.5658132102040149,0.07661718318401248,125,0.01338091561057081,0.5524691508661623,0.579230982087304,
Di-MMLP,both,0.4,0.6,,0.5521827946425648,0.0774565228728242,125,0.013329318040409988,0.5387227275108885,0.5653813635917084,
Di-MMLP,both,0.4,0.8,,0.5241495366276976,0.07769551844856841,125,0.0137773019615548,0.5105515237253168,0.5381061276484264,
Di-MMLP,both,0.6,0.0,,0.5739644627828536,0.07211583188536358,125,0.012239929757343448,0.5618709771752303,0.5863508366899172,
Di-MMLP,both,0.6,0.2,,0.565151075744179,0.07583043536770774,125,0.013291014834463155,0.5513876376199365,0.5779696672888628,
Di-MMLP,both,0.6,0.4,,0.548929285784458,0.07954931900650943,125,0.013217529554311103,0.5355792536922422,0.5620143128008644,
Di-MMLP,both,0.6,0.6,,0.535834875724531,0.07450864619270615,125,0.013101993319579563,0.5227762540524609,0.54898024069162,
Di-MMLP,both,0.6,0.8,,0.5256541638012903,0.07542599026146195,125,0.013103405049611883,0.5126249268100993,0.5388317369093231,
Di-MMLP,both,0.8,0.0,,0.5343876608704193,0.07810799941323167,125,0.013380214002685409,0.5208985280151947,0.5476589560205655,
Di-MMLP,both,0.8,0.2,,0.521550040933949,0.07977178314528341,125,0.014212546419098082,0.5074098051544028,0.535834897992599,
Di-MMLP,both,0.8,0.4,,0.5065513311720208,0.07140676363280392,125,0.01256422765825066,0.49414321642597503,0.5192716717424763,
Di-MMLP,both,0.8,0.6,,0.5037443494776828,0.07763150688792608,125,0.013819649277925089,0.48972839768150117,0.5173676962373513,
Di-MMLP,both,0.8,0.8,,0.49102013950289813,0.08956005728606797,125,0.015546490323214451,0.47483731473294694,0.5059302953793758,
Di-PAM,both,0.0,0.0,,0.5975439892589318,0.06981085764813826,125,0.012386266823853076,0.5848866126338539,0.60965914628156,
Di-PAM,both,0.0,0.2,,0.5847044175917739,0.07011997757398786,125,0.012332367455873128,0.5725407653011102,0.5972055002128565,
Di-PAM,both,0.0,0.4,,0.571148521465763,0.06989539227228947,125,0.012374369780921435,0.5587577810524939,0.5835065206143367,
Di-PAM,both,0.0,0.6,,0.548242093198415,0.06199158817333013,125,0.010559989193437369,0.537251973016341,0.5583719514032157,
Di-PAM,both,0.0,0.8,,0.5288405933785244,0.06459003644954732,125,0.011117232210105799,0.5175997350754823,0.5398341994956939,
Di-PAM,both,0.2,0.0,,0.5995003045485805,0.08199400042843408,125,0.013727691325277458,0.5855542397746997,0.6130096224252546,
Di-PAM,both,0.2,0.2,,0.5838967285587974,0.08393247493859028,125,0.01454662884369784,0.5687311936339523,0.597824451321348,
Di-PAM,both,0.2,0.4,,0.5640923076923077,0.0788198958531065,125,0.0136171755575204,0.5499387434915021,0.5771730946065429,
Di-PAM,both,0.2,0.6,,0.5409876543209876,0.06894194109929969,125,0.011902109571994668,0.5288487713265873,0.5526529904705766,
Di-PAM,both,0.2,0.8,,0.5252437502046697,0.07311497674286704,125,0.012526621148115424,0.5131512738644923,0.5382045161607232,
Di-PAM,both,0.4,0.0,,0.6002666011723483,0.0732286559753451,125,0.01255074041326909,0.587788454006615,0.6128899348331531,
Di-PAM,both,0.4,0.2,,0.5806251825654125,0.06944409872618766,125,0.01160669597537417,0.5691152388905263,0.5923286308412746,
Di-PAM,both,0.4,0.4,,0.560156780299309,0.07199777192710612,125,0.012889815306022123,0.547439192127583,0.5732188227396272,
Di-PAM,both,0.4,0.6,,0.5474768313848775,0.06822456047398984,125,0.011669975439630553,0.5359593794413335,0.5592993303205946,
Di-PAM,both,0.4,0.8,,0.5258602613223303,0.07679923423353245,125,0.01324884222418704,0.5127318973704031,0.5392295818187772,
Di-PAM,both,0.6,0.0,,0.5668810950650033,0.08710624144650937,125,0.015200208108196667,0.5515404142515636,0.581940830467957,
Di-PAM,both,0.6,0.2,,0.5484646690899565,0.08896320124329614,125,0.015019877853096275,0.5332945030618593,0.5633342587680519,
Di-PAM,both,0.6,0.4,,0.5341410616629008,0.0915825724182939,125,0.016212158037790247,0.5173475177653337,0.5497718338409142,
Di-PAM,both,0.6,0.6,,0.5196831646854635,0.07912765113071393,125,0.01349217162786126,0.5062580404099943,0.5332423836657169,
Di-PAM,both,0.6,0.8,,0.5066497953302551,0.08066098556355335,125,0.014331420244293791,0.4925945364639618,0.5212573769525494,
Di-PAM,both,0.8,0.0,,0.5266440449291024,0.08516515448234853,125,0.0151080111012869,0.5116859459016931,0.5419019681042669,
Di-PAM,both,0.8,0.2,,0.5213793627402823,0.08535843927087834,125,0.015072070930346848,0.506789650915283,0.5369337927759767,
Di-PAM,both,0.8,0.4,,0.5116251367193896,0.08976623048713755,125,0.015858562072240262,0.4955947208304679,0.5273118449749484,
Di-PAM,both,0.8,0.6,,0.5097035072207485,0.08507284011903737,125,0.014557546910305613,0.4950584120902511,0.5241735059108623,
Di-PAM,both,0.8,0.8,,0.4957881520778073,0.08401948395286522,125,0.014346183646068711,0.4810234246979074,0.5097157919900448,
HealNet,both,0.0,0.0,,0.6151868225431445,0.07062948104025078,125,0.012064180011134074,0.6031423315977339,0.627270691620002,
HealNet,both,0.0,0.2,,0.6088933032059468,0.07623785368694329,125,0.012766355732390322,0.5959190493499688,0.6214517608147494,
HealNet,both,0.0,0.4,,0.5869523266856601,0.07371323950776601,125,0.012840029799914887,0.5737985804106494,0.5994786400104791,
HealNet,both,0.0,0.6,,0.5648594688410778,0.07056983571932081,125,0.01255959966597886,0.5523210780364806,0.5774402773684383,
HealNet,both,0.0,0.8,,0.5339197432622721,0.07017755822707182,125,0.012805005239545475,0.5214256524871468,0.5470356629662377,
HealNet,both,0.2,0.0,,0.6030551265677703,0.061987135554117,125,0.010830545731407792,0.5922578491665849,0.6139189406294004,
HealNet,both,0.2,0.2,,0.5858133542915152,0.06355311473563739,125,0.011082346825162903,0.5746800746635229,0.5968447683138487,
HealNet,both,0.2,0.4,,0.5681950158823724,0.06350179595315424,125,0.011192770573402788,0.5568533418475947,0.5792388829944003,
HealNet,both,0.2,0.6,,0.5517174051151065,0.059844347232857226,125,0.010278549464583953,0.5414970494809576,0.5620541484101255,
HealNet,both,0.2,0.8,,0.5348443920489897,0.06852133954935476,125,0.01247618823067087,0.5224397275436357,0.5473921040049774,
HealNet,both,0.4,0.0,,0.6137416380129023,0.07452999491468693,125,0.012689422012640283,0.6010431191669123,0.6264219631921929,
HealNet,both,0.4,0.2,,0.5935848446147295,0.0705250191801247,125,0.012139726070013346,0.5815491308903953,0.605828583030422,
HealNet,both,0.4,0.4,,0.5687170841929463,0.06731450574931047,125,0.011587836558928533,0.5575419690866817,0.5807176422045388,
HealNet,both,0.4,0.6,,0.5542544454268591,0.06825576439381323,125,0.012198784589186884,0.5424089576579232,0.566806526836297,
HealNet,both,0.4,0.8,,0.5310745259848708,0.08192419304566306,125,0.014952775158004972,0.5162343465304385,0.5461398968464485,
