model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc,selected_train_aupmc
Di-MMLP,0.0,0.0,0.5544242424242425,0.5229696969696969
Di-MMLP,0.33,0.0,0.5149090909090909,0.5229696969696969
Di-MMLP,0.66,0.0,0.5076363636363636,0.5229696969696969
Di-PAM,0.0,0.0,0.5410909090909091,0.5094848484848484
Di-PAM,0.33,0.0,0.5063030303030303,0.5094848484848484
Di-PAM,0.66,0.0,0.4842424242424242,0.5094848484848484
HealNet,0.0,0.0,0.5846060606060606,0.569
HealNet,0.33,0.0,0.5732121212121212,0.569
HealNet,0.66,0.0,0.5449696969696969,0.569
KNN_MLP,0.0,0.0,0.603030303030303,0.5402727272727272
KNN_MLP,0.33,0.0,0.5504242424242424,0.5402727272727272
KNN_MLP,0.66,0.0,0.4572121212121212,0.5402727272727272
SMILe,0.0,0.66,0.48436363636363633,0.46969696969696967
SMILe,0.33,0.66,0.4792727272727273,0.46969696969696967
SMILe,0.66,0.66,0.43587878787878787,0.46969696969696967
VAE_MLP,0.0,0.0,0.5680000000000001,0.5388787878787878
VAE_MLP,0.33,0.0,0.553939393939394,0.5388787878787878
VAE_MLP,0.66,0.0,0.4796363636363637,0.5388787878787878
ZI_MLP,0.0,0.0,0.603030303030303,0.5365454545454545
ZI_MLP,0.33,0.0,0.5401212121212121,0.5365454545454545
ZI_MLP,0.66,0.0,0.46290909090909094,0.5365454545454545
pAM,0.0,0.0,0.5636363636363637,0.519
pAM,0.33,0.0,0.5231515151515151,0.519
pAM,0.66,0.0,0.466060606060606,0.519
