model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,selected_train_aupmc,baseline_auc,raw_degradation_ratio,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-MMLP,envelope,0.0,0.0,0.0,0.5544242424242425,0.1219625758633916,25,0.0472166666666666,0.5050878787878788,0.5995212121212121,0.5229696969696969,0.5544242424242425,1.0,1.0,0.0,1.0,1.0,False
Di-MMLP,envelope,0.0,0.33,0.33,0.5149090909090909,0.1389042783025857,25,0.0528515151515151,0.459630303030303,0.5653333333333334,0.5229696969696969,0.5544242424242425,1.0767419962335218,1.0767419962335218,0.1231609412201604,0.9535810550133614,1.1999029374536825,False
Di-MMLP,envelope,0.0,0.66,0.66,0.5076363636363636,0.1357565611433947,25,0.0523030303030302,0.4574545454545454,0.562060606060606,0.5229696969696969,0.5544242424242425,1.0921680993314231,1.0921680993314231,0.1254546878374842,0.9667134114939392,1.2176227871689076,False
Di-PAM,envelope,0.0,0.0,0.0,0.5410909090909091,0.1403924491981601,25,0.0546727272727272,0.4837484848484847,0.5930939393939393,0.5094848484848484,0.5410909090909091,1.0,1.0,0.0,1.0,1.0,False
Di-PAM,envelope,0.0,0.33,0.33,0.5063030303030303,0.1377369678000246,25,0.0533348484848485,0.4536939393939393,0.5603636363636364,0.5094848484848484,0.5410909090909091,1.068709600191525,1.068709600191525,0.1258354712062253,0.9428741289852998,1.1945450713977503,False
Di-PAM,envelope,0.0,0.66,0.66,0.4842424242424241,0.1045820460045377,25,0.0392181818181817,0.4460484848484848,0.5244848484848484,0.5094848484848484,0.5410909090909091,1.1173967459324157,1.1173967459324157,0.0984716439407953,1.0189251019916203,1.215868389873211,False
HealNet,envelope,0.0,0.0,0.0,0.5846060606060606,0.134550004473072,25,0.0526075757575757,0.5319969696969697,0.6372121212121212,0.569,0.5846060606060606,1.0,1.0,0.0,1.0,1.0,False
HealNet,envelope,0.0,0.33,0.33,0.5732121212121212,0.1215704300070404,25,0.0458833333333332,0.5279939393939395,0.619760606060606,0.569,0.5846060606060606,1.0198773525058151,1.0198773525058151,0.0887404093988097,0.9311369431070052,1.108617761904625,False
HealNet,envelope,0.0,0.66,0.66,0.5449696969696969,0.1268290728219931,25,0.048430303030303,0.4947787878787879,0.591639393939394,0.569,0.5846060606060606,1.0727313167259789,1.0727313167259789,0.1046295689189091,0.9681017478070696,1.1773608856448878,False
KNN_MLP,envelope,0.0,0.0,0.0,0.603030303030303,0.1463775428908024,25,0.0559469696969696,0.5513878787878789,0.6632818181818181,0.5402727272727272,0.603030303030303,1.0,1.0,0.0,1.0,1.0,False
KNN_MLP,envelope,0.0,0.33,0.33,0.5504242424242424,0.1347601572030504,25,0.0500742424242424,0.4991333333333333,0.5992818181818181,0.5402727272727272,0.603030303030303,1.0955736621889454,1.0955736621889454,0.109643292003726,0.9859303701852192,1.2052169541926714,False
KNN_MLP,envelope,0.0,0.66,0.66,0.4572121212121212,0.1431967017009213,25,0.0552242424242423,0.3986575757575757,0.5091060606060605,0.5402727272727272,0.603030303030303,1.3189289501590669,1.3189289501590669,0.181191662553513,1.1377372876055538,1.50012061271258,False
SMILe,envelope,0.66,0.0,0.0,0.4843636363636363,0.1128039545857622,25,0.0453439393939393,0.4388909090909091,0.5295787878787879,0.4696969696969696,0.4843636363636363,1.0,1.0,0.0,1.0,1.0,False
SMILe,envelope,0.66,0.33,0.33,0.4792727272727273,0.1442518671045426,25,0.0567954545454544,0.4204818181818182,0.5340727272727271,0.4696969696969696,0.4843636363636363,1.0106221547799696,1.0106221547799696,0.1358623252888879,0.8747598294910817,1.1464844800688576,False
SMILe,envelope,0.66,0.66,0.66,0.4358787878787878,0.1394671524905198,25,0.052310606060606,0.3832575757575757,0.4878787878787879,0.4696969696969696,0.4843636363636363,1.1112347052280311,1.1112347052280311,0.1515489648555146,0.9596857403725164,1.2627836700835458,False
VAE_MLP,envelope,0.0,0.0,0.0,0.5680000000000001,0.1429794679393484,25,0.0546727272727272,0.5136909090909091,0.6230363636363636,0.5388787878787878,0.5680000000000001,1.0,1.0,0.0,1.0,1.0,False
VAE_MLP,envelope,0.0,0.33,0.33,0.553939393939394,0.127950336631116,25,0.0501272727272726,0.5056878787878789,0.6059424242424242,0.5388787878787878,0.5680000000000001,1.025382932166302,1.025382932166302,0.1020214634116549,0.923361468754647,1.127404395577957,False
VAE_MLP,envelope,0.0,0.66,0.66,0.4796363636363637,0.1300488476897433,25,0.0503651515151514,0.4289666666666667,0.5296969696969697,0.5388787878787878,0.5680000000000001,1.1842304776345716,1.1842304776345716,0.1389423416962885,1.045288135938283,1.32317281933086,False
ZI_MLP,envelope,0.0,0.0,0.0,0.603030303030303,0.1463775428908024,25,0.0572818181818181,0.5481121212121213,0.6626757575757575,0.5365454545454545,0.603030303030303,1.0,1.0,0.0,1.0,1.0,False
ZI_MLP,envelope,0.0,0.33,0.33,0.5401212121212121,0.1564750796972756,25,0.0601818181818181,0.48,0.6003636363636362,0.5365454545454545,0.603030303030303,1.1164721723518851,1.1164721723518851,0.1399996043876019,0.9764725679642832,1.256471776739487,False
