train_missing_prop,test_missing_prop,winner_rank,loser_rank,winner_model,loser_model,winner_mean_auc,loser_mean_auc,delta_mean_auc,wilcoxon_statistic,p_value,n_replicates,p_value_fdr,significant_fdr_0p05,n_pairs_tested_in_cell
0.0,0.0,3,8,HealNet,SMILe,0.5846060606060606,0.4761212121212121,0.10848484848484846,47.0,0.003248831081067567,25,0.02274181756747297,True,28
0.0,0.66,1,8,HealNet,SMILe,0.5449696969696969,0.42606060606060603,0.11890909090909085,37.5,0.0003764033317565918,25,0.01053929328918457,True,28
0.0,0.0,1,8,KNN_MLP,SMILe,0.603030303030303,0.4761212121212121,0.12690909090909092,25.5,6.365776062011719e-05,25,0.0008912086486816406,True,28
0.66,0.0,3,8,VAE_MLP,KNN_MLP,0.5161212121212121,0.41915151515151505,0.09696969696969704,39.0,0.0015101610364433786,25,0.0422845090204146,True,28
0.0,0.0,4,8,VAE_MLP,SMILe,0.5680000000000001,0.4761212121212121,0.09187878787878795,54.0,0.002507925033569336,25,0.02274181756747297,True,28
0.0,0.0,2,8,ZI_MLP,SMILe,0.603030303030303,0.4761212121212121,0.12690909090909092,25.5,6.365776062011719e-05,25,0.0008912086486816406,True,28
0.0,0.0,5,8,pAM,SMILe,0.5636363636363637,0.4761212121212121,0.0875151515151516,44.5,0.004451030430102274,25,0.024925770408572735,True,28
