model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.0,4,1,1,4|outer_1|inner_1,30,0.5972850678733032
Di-MMLP,0.0,0.0,4,1,2,4|outer_1|inner_2,30,0.755656108597285
Di-MMLP,0.0,0.0,4,1,3,4|outer_1|inner_3,30,0.7828054298642534
Di-MMLP,0.0,0.0,4,1,4,4|outer_1|inner_4,30,0.6742081447963801
Di-MMLP,0.0,0.0,4,1,5,4|outer_1|inner_5,30,0.502262443438914
Di-MMLP,0.0,0.0,4,2,1,4|outer_2|inner_1,30,0.4615384615384615
Di-MMLP,0.0,0.0,4,2,2,4|outer_2|inner_2,30,0.3936651583710407
Di-MMLP,0.0,0.0,4,2,3,4|outer_2|inner_3,30,0.6425339366515836
Di-MMLP,0.0,0.0,4,2,4,4|outer_2|inner_4,30,0.5701357466063348
Di-MMLP,0.0,0.0,4,2,5,4|outer_2|inner_5,30,0.502262443438914
Di-MMLP,0.0,0.0,4,3,1,4|outer_3|inner_1,30,0.5339366515837104
Di-MMLP,0.0,0.0,4,3,2,4|outer_3|inner_2,30,0.6742081447963801
Di-MMLP,0.0,0.0,4,3,3,4|outer_3|inner_3,30,0.5701357466063348
Di-MMLP,0.0,0.0,4,3,4,4|outer_3|inner_4,30,0.574660633484163
Di-MMLP,0.0,0.0,4,3,5,4|outer_3|inner_5,30,0.4524886877828054
Di-MMLP,0.0,0.0,4,4,1,4|outer_4|inner_1,29,0.5588235294117647
Di-MMLP,0.0,0.0,4,4,2,4|outer_4|inner_2,29,0.6519607843137254
Di-MMLP,0.0,0.0,4,4,3,4|outer_4|inner_3,29,0.6274509803921569
Di-MMLP,0.0,0.0,4,4,4,4|outer_4|inner_4,29,0.7401960784313725
Di-MMLP,0.0,0.0,4,4,5,4|outer_4|inner_5,29,0.7156862745098039
Di-MMLP,0.0,0.0,4,5,1,4|outer_5|inner_1,29,0.6127450980392157
Di-MMLP,0.0,0.0,4,5,2,4|outer_5|inner_2,29,0.6617647058823529
Di-MMLP,0.0,0.0,4,5,3,4|outer_5|inner_3,29,0.5490196078431373
Di-MMLP,0.0,0.0,4,5,4,4|outer_5|inner_4,29,0.4068627450980392
Di-MMLP,0.0,0.0,4,5,5,4|outer_5|inner_5,29,0.49019607843137253
Di-MMLP,0.0,0.0,22,1,1,22|outer_1|inner_1,30,0.5248868778280542
Di-MMLP,0.0,0.0,22,1,2,22|outer_1|inner_2,30,0.5113122171945701
Di-MMLP,0.0,0.0,22,1,3,22|outer_1|inner_3,30,0.5972850678733033
Di-MMLP,0.0,0.0,22,1,4,22|outer_1|inner_4,30,0.583710407239819
Di-MMLP,0.0,0.0,22,1,5,22|outer_1|inner_5,30,0.5248868778280542
Di-MMLP,0.0,0.0,22,2,1,22|outer_2|inner_1,30,0.5520361990950227
Di-MMLP,0.0,0.0,22,2,2,22|outer_2|inner_2,30,0.8552036199095022
Di-MMLP,0.0,0.0,22,2,3,22|outer_2|inner_3,30,0.5339366515837105
Di-MMLP,0.0,0.0,22,2,4,22|outer_2|inner_4,30,0.40271493212669685
Di-MMLP,0.0,0.0,22,2,5,22|outer_2|inner_5,30,0.4751131221719457
Di-MMLP,0.0,0.0,22,3,1,22|outer_3|inner_1,30,0.3212669683257918
Di-MMLP,0.0,0.0,22,3,2,22|outer_3|inner_2,30,0.47058823529411764
Di-MMLP,0.0,0.0,22,3,3,22|outer_3|inner_3,30,0.502262443438914
Di-MMLP,0.0,0.0,22,3,4,22|outer_3|inner_4,30,0.6108597285067874
Di-MMLP,0.0,0.0,22,3,5,22|outer_3|inner_5,30,0.7149321266968326
Di-MMLP,0.0,0.0,22,4,1,22|outer_4|inner_1,29,0.47549019607843146
Di-MMLP,0.0,0.0,22,4,2,22|outer_4|inner_2,29,0.553921568627451
Di-MMLP,0.0,0.0,22,4,3,22|outer_4|inner_3,29,0.49019607843137253
Di-MMLP,0.0,0.0,22,4,4,22|outer_4|inner_4,29,0.6225490196078431
Di-MMLP,0.0,0.0,22,4,5,22|outer_4|inner_5,29,0.3872549019607843
Di-MMLP,0.0,0.0,22,5,1,22|outer_5|inner_1,29,0.7156862745098039
Di-MMLP,0.0,0.0,22,5,2,22|outer_5|inner_2,29,0.5392156862745099
Di-MMLP,0.0,0.0,22,5,3,22|outer_5|inner_3,29,0.7794117647058824
Di-MMLP,0.0,0.0,22,5,4,22|outer_5|inner_4,29,0.7647058823529411
Di-MMLP,0.0,0.0,22,5,5,22|outer_5|inner_5,29,0.75
Di-MMLP,0.0,0.0,2002,1,1,2002|outer_1|inner_1,30,0.6063348416289593
Di-MMLP,0.0,0.0,2002,1,2,2002|outer_1|inner_2,30,0.5203619909502262
Di-MMLP,0.0,0.0,2002,1,3,2002|outer_1|inner_3,30,0.7420814479638009
Di-MMLP,0.0,0.0,2002,1,4,2002|outer_1|inner_4,30,0.7375565610859729
Di-MMLP,0.0,0.0,2002,1,5,2002|outer_1|inner_5,30,0.5475113122171946
Di-MMLP,0.0,0.0,2002,2,1,2002|outer_2|inner_1,30,0.8054298642533936
Di-MMLP,0.0,0.0,2002,2,2,2002|outer_2|inner_2,30,0.7239819004524887
Di-MMLP,0.0,0.0,2002,2,3,2002|outer_2|inner_3,30,0.5520361990950227
Di-MMLP,0.0,0.0,2002,2,4,2002|outer_2|inner_4,30,0.8733031674208145
Di-MMLP,0.0,0.0,2002,2,5,2002|outer_2|inner_5,30,0.6832579185520362
Di-MMLP,0.0,0.0,2002,3,1,2002|outer_3|inner_1,30,0.7692307692307693
Di-MMLP,0.0,0.0,2002,3,2,2002|outer_3|inner_2,30,0.6063348416289592
Di-MMLP,0.0,0.0,2002,3,3,2002|outer_3|inner_3,30,0.6425339366515836
Di-MMLP,0.0,0.0,2002,3,4,2002|outer_3|inner_4,30,0.583710407239819
Di-MMLP,0.0,0.0,2002,3,5,2002|outer_3|inner_5,30,0.4343891402714932
Di-MMLP,0.0,0.0,2002,4,1,2002|outer_4|inner_1,29,0.7450980392156863
Di-MMLP,0.0,0.0,2002,4,2,2002|outer_4|inner_2,29,0.5735294117647058
Di-MMLP,0.0,0.0,2002,4,3,2002|outer_4|inner_3,29,0.5882352941176471
Di-MMLP,0.0,0.0,2002,4,4,2002|outer_4|inner_4,29,0.5980392156862745
Di-MMLP,0.0,0.0,2002,4,5,2002|outer_4|inner_5,29,0.6323529411764706
Di-MMLP,0.0,0.0,2002,5,1,2002|outer_5|inner_1,29,0.6617647058823529
Di-MMLP,0.0,0.0,2002,5,2,2002|outer_5|inner_2,29,0.36764705882352944
Di-MMLP,0.0,0.0,2002,5,3,2002|outer_5|inner_3,29,0.4950980392156863
Di-MMLP,0.0,0.0,2002,5,4,2002|outer_5|inner_4,29,0.5833333333333334
Di-MMLP,0.0,0.0,2002,5,5,2002|outer_5|inner_5,29,0.642156862745098
Di-MMLP,0.0,0.0,18473,1,1,18473|outer_1|inner_1,30,0.6018099547511313
Di-MMLP,0.0,0.0,18473,1,2,18473|outer_1|inner_2,30,0.5113122171945701
Di-MMLP,0.0,0.0,18473,1,3,18473|outer_1|inner_3,30,0.588235294117647
Di-MMLP,0.0,0.0,18473,1,4,18473|outer_1|inner_4,30,0.6425339366515836
