train_missing_prop,test_missing_prop,winner_rank,loser_rank,winner_model,loser_model,winner_mean_auc,loser_mean_auc,delta_mean_auc,wilcoxon_statistic,p_value,n_replicates,p_value_fdr,significant_fdr_0p05,n_pairs_tested_in_cell
0.0,0.0,1,2,SMILe,KNN_MLP,0.6545610859728507,0.6365671191553545,0.01799396681749621,3019.5,0.03289295678501583,125,0.09210027899804432,False,28
0.0,0.0,1,3,SMILe,ZI_MLP,0.6545610859728507,0.6365671191553545,0.01799396681749621,3019.5,0.03289295678501583,125,0.09210027899804432,False,28
0.0,0.0,1,4,SMILe,VAE_MLP,0.6545610859728507,0.6289381598793363,0.025622926093514353,2432.0,0.0011325558674569094,125,0.010570521429597822,True,28
0.0,0.0,1,5,SMILe,HealNet,0.6545610859728507,0.6283800904977375,0.02618099547511321,2842.0,0.009994405445663868,125,0.03997762178265547,True,28
0.0,0.0,1,6,SMILe,pAM,0.6545610859728507,0.6251161387631975,0.029444947209653183,2816.0,0.008268742040242097,125,0.03997762178265547,True,28
0.0,0.0,1,7,SMILe,Di-PAM,0.6545610859728507,0.6225520361990949,0.03200904977375574,2562.0,0.0010593593818088482,125,0.010570521429597822,True,28
0.0,0.0,1,8,SMILe,Di-MMLP,0.6545610859728507,0.6046998491704375,0.04986123680241317,2124.5,2.0271590623257935e-05,125,0.0005676045374512222,True,28
0.0,0.0,2,3,KNN_MLP,ZI_MLP,0.6365671191553545,0.6365671191553545,0.0,,1.0,125,1.0,False,28
0.0,0.0,2,4,KNN_MLP,VAE_MLP,0.6365671191553545,0.6289381598793363,0.0076289592760181435,3684.0,0.5322169569067955,125,0.6479162953647944,False,28
0.0,0.0,2,5,KNN_MLP,HealNet,0.6365671191553545,0.6283800904977375,0.008187028657617001,3497.0,0.4250974822032356,125,0.5951364750845298,False,28
0.0,0.0,2,6,KNN_MLP,pAM,0.6365671191553545,0.6251161387631975,0.011450980392156973,3544.5,0.33286826718649287,125,0.5390163513416618,False,28
0.0,0.0,2,7,KNN_MLP,Di-PAM,0.6365671191553545,0.6225520361990949,0.014015082956259528,3275.5,0.10285737835609825,125,0.2057147567121965,False,28
0.0,0.0,2,8,KNN_MLP,Di-MMLP,0.6365671191553545,0.6046998491704375,0.03186726998491696,2884.5,0.009471063394988448,125,0.03997762178265547,True,28
0.0,0.0,3,4,ZI_MLP,VAE_MLP,0.6365671191553545,0.6289381598793363,0.0076289592760181435,3684.0,0.5322169569067955,125,0.6479162953647944,False,28
0.0,0.0,3,5,ZI_MLP,HealNet,0.6365671191553545,0.6283800904977375,0.008187028657617001,3497.0,0.4250974822032356,125,0.5951364750845298,False,28
0.0,0.0,3,6,ZI_MLP,pAM,0.6365671191553545,0.6251161387631975,0.011450980392156973,3544.5,0.33286826718649287,125,0.5390163513416618,False,28
0.0,0.0,3,7,ZI_MLP,Di-PAM,0.6365671191553545,0.6225520361990949,0.014015082956259528,3275.5,0.10285737835609825,125,0.2057147567121965,False,28
0.0,0.0,3,8,ZI_MLP,Di-MMLP,0.6365671191553545,0.6046998491704375,0.03186726998491696,2884.5,0.009471063394988448,125,0.03997762178265547,True,28
0.0,0.0,4,5,VAE_MLP,HealNet,0.6289381598793363,0.6283800904977375,0.000558069381598858,3721.0,0.5937189657744539,125,0.6926721267368628,False,28
0.0,0.0,4,6,VAE_MLP,pAM,0.6289381598793363,0.6251161387631975,0.0038220211161388296,3640.0,0.6623517115340349,125,0.7133018431904993,False,28
0.0,0.0,4,7,VAE_MLP,Di-PAM,0.6289381598793363,0.6225520361990949,0.0063861236802413845,3634.5,0.455312986919582,125,0.6070839825594427,False,28
0.0,0.0,4,8,VAE_MLP,Di-MMLP,0.6289381598793363,0.6046998491704375,0.024238310708898814,3125.5,0.045419621379072975,125,0.11561358169218576,False,28
0.0,0.0,5,6,HealNet,pAM,0.6283800904977375,0.6251161387631975,0.0032639517345399716,3696.0,0.6553251222655034,125,0.7133018431904993,False,28
0.0,0.0,5,7,HealNet,Di-PAM,0.6283800904977375,0.6225520361990949,0.0058280542986425266,3497.5,0.3465105115767826,125,0.5390163513416618,False,28
0.0,0.0,5,8,HealNet,Di-MMLP,0.6283800904977375,0.6046998491704375,0.023680241327299956,3024.0,0.024395406238896994,125,0.08538392183613948,False,28
0.0,0.0,6,7,pAM,Di-PAM,0.6251161387631975,0.6225520361990949,0.002564102564102555,3611.0,0.7196062780949273,125,0.7462583624688135,False,28
0.0,0.0,6,8,pAM,Di-MMLP,0.6251161387631975,0.6046998491704375,0.020416289592759984,3220.0,0.10238837634390596,125,0.2057147567121965,False,28
0.0,0.0,7,8,Di-PAM,Di-MMLP,0.6225520361990949,0.6046998491704375,0.01785218702865743,3408.0,0.24419475493347065,125,0.4558302092091452,False,28
