model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper
Di-MMLP,both,0.0,0.0,,0.6046998491704375,0.11067861429571553,125,0.019312028657616886,0.585507843137255,0.6241319004524888
Di-MMLP,both,0.0,0.25,,0.5906666666666667,0.10547010345834429,125,0.01880022624434391,0.5719184012066364,0.6095188536953242
Di-MMLP,both,0.0,0.5,,0.5801236802413273,0.1062590786845732,125,0.018518438914027158,0.5614797134238312,0.5985165912518855
Di-MMLP,both,0.0,0.75,,0.5868657616892909,0.11267585301920278,125,0.019880165912518954,0.5676920060331825,0.6074523378582204
Di-MMLP,both,0.25,0.0,,0.6001508295625942,0.11080614781211306,125,0.019022096530920074,0.580533257918552,0.6185774509803922
Di-MMLP,both,0.25,0.25,,0.5800211161387631,0.11056366677037054,125,0.019453695324283427,0.5605696832579187,0.5994770739064855
Di-MMLP,both,0.25,0.5,,0.570971342383107,0.10206789865794821,125,0.018245211161387664,0.5528134992458523,0.5893039215686277
Di-MMLP,both,0.25,0.75,,0.5910739064856713,0.11041253113983078,125,0.019195098039215652,0.5718934389140271,0.6102836349924584
Di-MMLP,both,0.5,0.0,,0.6048748114630469,0.1176919912773456,125,0.02108567119155358,0.5839062594268476,0.6260776018099548
Di-MMLP,both,0.5,0.25,,0.5812337858220211,0.12436260585245357,125,0.02195686274509806,0.5596705128205127,0.6035842383107088
Di-MMLP,both,0.5,0.5,,0.5803800904977375,0.12043044032223404,125,0.02067673453996982,0.5600668174962292,0.6014202865761689
Di-MMLP,both,0.5,0.75,,0.5779788838612366,0.11834437430434727,125,0.01955539215686264,0.5582975867269985,0.5974083710407238
Di-MMLP,both,0.75,0.0,,0.5857194570135748,0.10520491448271176,125,0.017763348416289626,0.5671811463046755,0.6027078431372548
Di-MMLP,both,0.75,0.25,,0.5828144796380091,0.113495292225448,125,0.019095248868778225,0.5632434389140272,0.6014339366515836
Di-MMLP,both,0.75,0.5,,0.5621689291101055,0.11050495562973313,125,0.019540686274509722,0.5425096530920062,0.5815910256410256
Di-MMLP,both,0.75,0.75,,0.5857526395173455,0.10835730666747272,125,0.018939366515837053,0.5664311463046757,0.6043098793363498
Di-PAM,both,0.0,0.0,,0.6225520361990949,0.10322728793421271,125,0.017684954751131188,0.604910633484163,0.6402805429864253
Di-PAM,both,0.0,0.25,,0.598180995475113,0.10595865146817107,125,0.01811787330316733,0.580162895927602,0.6163986425339366
Di-PAM,both,0.0,0.5,,0.5904313725490196,0.10044746081854948,125,0.017213235294117724,0.5733313725490196,0.607757843137255
Di-PAM,both,0.0,0.75,,0.5821900452488689,0.09898650442360624,125,0.016882993966817472,0.5650074660633483,0.5987734539969832
Di-PAM,both,0.25,0.0,,0.6048748114630468,0.10473479673430011,125,0.0179582579185521,0.5878337104072399,0.6237502262443441
Di-PAM,both,0.25,0.25,,0.5865490196078431,0.10137284253275453,125,0.0174693061840121,0.5686239064856712,0.6035625188536954
Di-PAM,both,0.25,0.5,,0.5699125188536953,0.10658738114352974,125,0.018301885369532478,0.551505354449472,0.588109125188537
Di-PAM,both,0.25,0.75,,0.5916440422322776,0.11359558894818853,125,0.02005750377073906,0.5712232277526395,0.6113382352941176
Di-PAM,both,0.5,0.0,,0.6043469079939668,0.10272523831428565,125,0.018652903469079885,0.5853476621417798,0.6226534690799396
Di-PAM,both,0.5,0.25,,0.5794690799396682,0.1027935990107862,125,0.017608785822021022,0.5605633484162896,0.5957809200603317
Di-PAM,both,0.5,0.5,,0.585206636500754,0.10174215275658967,125,0.017891289592760207,0.5670046757164403,0.6027872549019607
Di-PAM,both,0.5,0.75,,0.5928265460030165,0.10114050940581326,125,0.01762982654600298,0.5760421568627451,0.611301809954751
Di-PAM,both,0.75,0.0,,0.5636892911010559,0.10791153011207466,125,0.01867243589743589,0.5448823529411764,0.5822272247360482
Di-PAM,both,0.75,0.25,,0.5534509803921568,0.1136745911706176,125,0.019910558069381745,0.5330456259426847,0.5728667420814482
Di-PAM,both,0.75,0.5,,0.5604313725490196,0.1054959391973176,125,0.018225377073906368,0.5420604826546005,0.5785112368024132
Di-PAM,both,0.75,0.75,,0.5573484162895929,0.11495019854872712,125,0.020474434389140428,0.5370059577677223,0.5779548265460032
HealNet,both,0.0,0.0,,0.6283800904977375,0.0878660446031028,125,0.015223190045248858,0.6136294871794871,0.6440758672699848
HealNet,both,0.0,0.25,,0.6069864253393665,0.09603106223366083,125,0.016171116138763098,0.5913029411764705,0.6236451734539967
HealNet,both,0.0,0.5,,0.5897797888386124,0.09849718933064547,125,0.016711538461538333,0.572797963800905,0.6062210407239816
HealNet,both,0.0,0.75,,0.5641960784313725,0.10874981154259548,125,0.01872880844645547,0.5452604072398191,0.58271802413273
HealNet,both,0.25,0.0,,0.627897435897436,0.0887834697504353,125,0.015426998491704369,0.6130853695324283,0.643939366515837
HealNet,both,0.25,0.25,,0.5907993966817496,0.10320300853977077,125,0.018105957767722336,0.5731004524886879,0.6093123680241326
HealNet,both,0.25,0.5,,0.5675354449472096,0.10529037374404547,125,0.018592194570135723,0.5487924585218703,0.5859768476621418
HealNet,both,0.25,0.75,,0.572711915535445,0.09528949737953635,125,0.01598223981900443,0.5566422322775264,0.5886067119155353
HealNet,both,0.5,0.0,,0.6331764705882353,0.10099276064806696,125,0.017578921568627393,0.6157270739064857,0.6508849170437405
HealNet,both,0.5,0.25,,0.5856319758672699,0.1031019013792089,125,0.017479147812971274,0.5678463046757165,0.602804600301659
HealNet,both,0.5,0.5,,0.5873393665158371,0.11101687258863845,125,0.018906108597285032,0.5689845399698341,0.6067967571644042
HealNet,both,0.5,0.75,,0.5947843137254901,0.11767376651923817,125,0.02106414027149328,0.5740217194570135,0.6161500000000001
HealNet,both,0.75,0.0,,0.5998039215686274,0.10529017527776789,125,0.018526847662141854,0.581793438914027,0.6188471342383107
HealNet,both,0.75,0.25,,0.576603318250377,0.11705489010309687,125,0.0205853318250378,0.5554389140271492,0.5966095776772248
HealNet,both,0.75,0.5,,0.5718552036199096,0.10463592586281738,125,0.018392571644042288,0.5542058069381598,0.5909909502262444
HealNet,both,0.75,0.75,,0.6080965309200603,0.1040602974510862,125,0.018728054298642605,0.5892260180995473,0.6266821266968325
