model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc
Di-MMLP,0.0,0.5,0.6048748114630469
Di-MMLP,0.25,0.0,0.5906666666666667
Di-MMLP,0.5,0.5,0.5803800904977375
Di-MMLP,0.75,0.25,0.5910739064856713
Di-PAM,0.0,0.0,0.6225520361990949
Di-PAM,0.25,0.0,0.598180995475113
Di-PAM,0.5,0.0,0.5904313725490196
Di-PAM,0.75,0.5,0.5928265460030165
HealNet,0.0,0.5,0.6331764705882353
HealNet,0.25,0.0,0.6069864253393665
HealNet,0.5,0.0,0.5897797888386124
HealNet,0.75,0.75,0.6080965309200603
KNN_MLP,0.0,0.0,0.6365671191553545
KNN_MLP,0.25,0.0,0.6199245852187029
KNN_MLP,0.5,0.0,0.6199909502262444
KNN_MLP,0.75,0.0,0.6247028657616893
SMILe,0.0,0.0,0.6545610859728507
SMILe,0.25,0.0,0.6222684766214178
SMILe,0.5,0.75,0.6140965309200602
SMILe,0.75,0.75,0.6399366515837104
VAE_MLP,0.0,0.0,0.6289381598793363
VAE_MLP,0.25,0.0,0.6137858220211162
VAE_MLP,0.5,0.0,0.6010527903469081
VAE_MLP,0.75,0.75,0.6120995475113122
ZI_MLP,0.0,0.0,0.6365671191553545
ZI_MLP,0.25,0.0,0.6266636500754148
ZI_MLP,0.5,0.0,0.6174177978883862
ZI_MLP,0.75,0.75,0.618555052790347
pAM,0.0,0.0,0.6251161387631975
pAM,0.25,0.25,0.6079245852187029
pAM,0.5,0.75,0.5987692307692308
pAM,0.75,0.75,0.6218672699849169
