model_name,baseline_mean_auc,excluded_from_intuition_ranking,intuition_slope,intuition_p_value,intuition_fit_status,pure_test_time_resilience_slope,pure_test_time_resilience_p_value,pure_test_time_resilience_fit_status,resilience_post_adaptation_mean_auc
SMILe,0.6545610859728507,False,-0.01827933634992636,0.15344090469075594,ok_lbfgs,-0.07173695324283605,1.6265192047450844e-13,ok_lbfgs,0.6327156862745098
KNN_MLP,0.6365671191553545,False,-0.04292488687782472,0.002510193433521092,ok_lbfgs,-0.01421055806938075,0.19132423746401106,ok_lbfgs,0.6252963800904978
ZI_MLP,0.6365671191553545,False,-0.02068295625942513,0.14036252489249,ok_lbfgs,-0.06652549019607679,1.000673662181674e-09,ok_lbfgs,0.6248009049773756
VAE_MLP,0.6289381598793363,False,-0.02902926093513856,0.04710811716351907,ok_lbfgs,-0.04046334841629161,3.236226313908033e-05,ok_lbfgs,0.6139690799396682
HealNet,0.6283800904977375,False,-0.03217978883861242,0.01991865806829408,ok_lbfgs,-0.0839034690799391,8.74400289947242e-17,ok_lbfgs,0.6095098039215686
pAM,0.6251161387631975,False,-0.01638491704374156,0.28800096379898743,ok_lbfgs,-0.06130316742081234,2.0115972314487657e-09,ok_lbfgs,0.6134193061840121
Di-PAM,0.6225520361990949,True,,,excluded_distillation_requires_complete_training_data,-0.05153423831070766,9.242109535860566e-08,ok_lbfgs,0.600997737556561
Di-MMLP,0.6046998491704375,True,,,excluded_distillation_requires_complete_training_data,-0.025618099547510004,0.0187206719314301,ok_lbfgs,0.5917488687782806
