model_name,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper
HealNet,0.6390950226244344,0.08034648646571389,25,0.030490384615384558,0.6091855203619909,0.67016628959276
ZI_MLP,0.6385746606334842,0.0978941180541317,20,0.041262726244343906,0.5951918363499247,0.6777172888386125
VAE_MLP,0.6357466063348417,0.0858581773616424,25,0.03334276018099547,0.6018223981900452,0.6685079185520362
KNN_MLP,0.634524886877828,0.0947709259342901,25,0.03605863499245854,0.5990173453996983,0.6711346153846154
Di-MMLP,0.6225942684766214,0.06368608978285338,25,0.024322209653091953,0.59815987933635,0.6468042986425339
Di-PAM,0.610211161387632,0.08994526930496001,25,0.03321700603318245,0.5780961538461539,0.6445301659125188
pAM,0.5807993966817496,0.10693461422670128,25,0.040945889894419274,0.5399977375565611,0.6218895173453997
