model_name,top_equivalent_group_count,top_equivalent_group_fraction,n_condition_cells_with_top_group
KNN_MLP,7,0.7777777777777778,9
SMILe,4,0.4444444444444444,9
VAE_MLP,2,0.2222222222222222,9
Di-MMLP,1,0.1111111111111111,9
HealNet,1,0.1111111111111111,9
ZI_MLP,1,0.1111111111111111,9
