outer_fold,inner_fold,hp_name,batch_size,learning_rate,weight_decay,pam_dropout,pam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,val_cindex,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,phase,train_auc,train_aucpr,train_acc,train_cindex,seed,missing_location,train_missing_prop
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,1,1.13544096549352,0.711210697889328,0.5474308300395256,0.5261067928334617,0.5777777777777777,0.0,0.7105298936367035,0.8201440572738647,0.20816816886266074,1.0712870955467224,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,2,1.0373304585615795,0.7170078754425049,0.5592885375494071,0.54360706902939,0.6222222222222222,0.0,0.6874004403750101,0.7389174600442251,0.19771047805746397,1.0070250034332275,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,3,1.0004372398058574,0.7292670011520386,0.575098814229249,0.5595810348352472,0.6222222222222222,0.0,0.6661563217639923,0.7191144824028015,0.18872159843643507,0.926011731227239,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,4,0.9025024771690369,0.7466776669025421,0.575098814229249,0.5559078067292178,0.6222222222222222,0.0,0.6515545348326365,0.6564837396144867,0.16279810046156248,0.8322061995665232,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,5,0.8921816051006317,0.7593992352485657,0.5790513833992095,0.554471929627893,0.6222222222222222,0.0,0.6364257534344991,0.6522844235102335,0.16092441976070404,0.7897276083628336,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,6,0.8736423055330912,0.7746351659297943,0.5810276679841897,0.5651110073278459,0.6,0.0,0.6390796502431234,0.6475888192653656,0.1512858159840107,0.7476766059796015,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,7,0.8910750448703766,0.7837284505367279,0.5770750988142292,0.5617453193168489,0.6222222222222222,0.0,0.6136767963568369,0.6563655932744344,0.1566149281958739,0.7809450626373291,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,8,0.896149476369222,0.7889736294746399,0.5810276679841897,0.5625990920618016,0.6222222222222222,0.0,0.613445500532786,0.6709449191888174,0.151187252253294,0.7401731510957082,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,9,0.8062618176142374,0.7917360067367554,0.592885375494071,0.5665415551681066,0.6,0.0,0.6028645237286886,0.5907502770423889,0.14642017955581346,0.690913567940394,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
1,1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,32,0.0001,0.0001,0.2,1.0,1.0,0.1,lr1e-04_bs32_drop0p2_temp1p0_a1p0_b0p1__wd1e-04trmiss80_trlocglobal,10,0.8665996889273325,0.799032598733902,0.5928853754940712,0.5855334301985385,0.6222222222222222,0.0,0.5884791413942972,0.6448515256245931,0.14894783248504004,0.7280033926169077,0.0,0.0,0.0,0.0,0.0,,,,,,4,global,0.8
