outer_fold,inner_fold,hp_name,batch_size,learning_rate,dyam_dropout,dyam_temperature,distill_alpha,distill_beta,name,epoch,train_loss,val_loss,val_auc,val_aucpr,val_acc,teacher_loss,student_survival_loss,student_repr_loss,student_feature_loss,smil_meta_train_loss,smil_meta_val_loss,smil_meta_val_ce,smil_align_fusion,smil_align_hidden,seed,missing_location,train_missing_prop
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,12,2.31514119108518,0.6496646006902059,0.5861344537815126,0.7219235192242424,0.6666666666666666,0.6382151593764623,0.6738589455684026,1.5683158437410991,0.7296639606356621,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,13,2.2782686750094094,0.6414716839790344,0.6029411764705883,0.7272908968432494,0.6888888888888889,0.6427902380625407,0.6886746188004812,1.515661930044492,0.7393211871385574,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,14,2.13050976395607,0.6417641838391622,0.615546218487395,0.7402725491889381,0.6666666666666666,0.6496840765078863,0.6396063516537348,1.422818531592687,0.6808489486575127,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,15,2.2232578893502555,0.6459724307060242,0.6071428571428572,0.7444407731423563,0.6666666666666666,0.6412189702192942,0.6666800032059351,1.4869069457054138,0.696709617972374,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,2.180117438236872,0.6513473391532898,0.5819327731092437,0.7209821613562184,0.6666666666666666,0.6276846627394358,0.6614760160446167,1.4397919078667958,0.7884949057673415,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,17,2.161031266053518,0.6449830333391825,0.6113445378151261,0.733749227670971,0.6666666666666666,0.6204308619101843,0.6741261780261993,1.4187899728616078,0.6811510995030403,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,18,2.1862336695194244,0.6547579169273376,0.6092436974789917,0.7398044382246576,0.6666666666666666,0.6261703471342722,0.6392509614427885,1.4712569862604141,0.7572572827339172,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,19,2.293847550948461,0.6549701889355978,0.6113445378151261,0.7283995131866832,0.6666666666666666,0.6329882442951202,0.7114164878924688,1.4965547968943913,0.8587627162535986,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,20,2.10654283563296,0.658700148264567,0.5798319327731092,0.7146431090271187,0.6666666666666666,0.6177583287159601,0.6537549495697021,1.3766854753096898,0.7610244527459145,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
1,1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,16,5e-05,0.2,1.0,1.0,0.1,lr5e-05_bs16_drop0p2_temp1p0_a1p0_b0p1_trmiss80_trlocglobal,21,2.0812030335267386,0.6635643839836121,0.5756302521008403,0.7179622952955681,0.6666666666666666,0.6180886030197144,0.6341690098245939,1.3763718629876773,0.706621507803599,0.0,0.0,0.0,0.0,0.0,18473,global,0.8
