train_missing_prop,test_missing_prop,winner_rank,loser_rank,winner_model,loser_model,winner_mean_auc,loser_mean_auc,delta_mean_auc,wilcoxon_statistic,p_value,n_replicates,p_value_fdr,significant_fdr_0p05,n_pairs_tested_in_cell
0.4,0.8,2,7,Di-PAM,VAE_MLP,0.5318289681370142,0.5163460064839375,0.015482961653076721,2959.0,0.015910641664647146,125,0.047731924993941445,True,21
0.0,0.6,1,5,KNN_MLP,Di-PAM,0.5996600451910797,0.5606939777974261,0.0389660673936536,2059.5,3.7050693990636765e-06,125,1.9451614345084303e-05,True,21
0.0,0.8,1,3,KNN_MLP,Di-PAM,0.5751142679372565,0.5415981399613584,0.03351612797589809,2273.0,4.1097142837945535e-05,125,0.00017260799991937126,True,21
0.2,0.2,1,6,KNN_MLP,Di-PAM,0.6070446212791042,0.5865008743491501,0.020543746929954088,2745.0,0.00702474452272241,125,0.049173211659056866,True,21
0.2,0.4,1,5,KNN_MLP,Di-PAM,0.5940851426138782,0.570218135376756,0.023867007237122206,2740.5,0.003184550430358538,125,0.01591803392903155,True,21
0.2,0.6,1,5,KNN_MLP,Di-PAM,0.5849100042571308,0.5486819530405737,0.036228051216557144,2150.5,1.067317763363722e-05,125,7.471224343546054e-05,True,21
0.2,0.8,1,7,KNN_MLP,Di-PAM,0.5690112060778726,0.5264632151160888,0.042547990961783744,1670.5,3.8558715202263944e-08,125,8.097330192475428e-07,True,21
0.4,0.8,1,2,KNN_MLP,Di-PAM,0.5558248681926843,0.5318289681370142,0.023995900055670094,2518.5,0.0010855298136017248,125,0.004559225217127244,True,21
0.0,0.4,1,7,KNN_MLP,HealNet,0.6006773815371516,0.5731818711726758,0.027495510364475728,2436.0,0.0003327077574690589,125,0.006986862906850237,True,21
0.0,0.6,1,7,KNN_MLP,HealNet,0.5996600451910797,0.5543753741362936,0.045284671054786174,1846.5,2.5756343016754035e-07,125,3.6064079614017794e-06,True,21
0.0,0.8,1,5,KNN_MLP,HealNet,0.5751142679372565,0.5360685201558764,0.03904574778138015,2187.5,2.5753411143537505e-05,125,0.00014103312389857807,True,21
0.2,0.4,1,6,KNN_MLP,HealNet,0.5940851426138782,0.569643776402397,0.024441366211481186,2762.5,0.0037900080783408456,125,0.01591803392903155,True,21
0.2,0.6,1,6,KNN_MLP,HealNet,0.5849100042571308,0.5445366080492517,0.04037339620787905,2025.5,2.464376176531909e-06,125,2.5875949853585047e-05,True,21
0.2,0.8,1,5,KNN_MLP,HealNet,0.5690112060778726,0.5283085699315583,0.04070263614631431,1902.0,5.293809154452848e-07,125,5.55849961217549e-06,True,21
0.4,0.8,1,3,KNN_MLP,HealNet,0.5558248681926843,0.5313937452925958,0.02443112290008853,2803.0,0.005184380726298351,125,0.01814533254204423,True,21
0.0,0.6,1,6,KNN_MLP,SMILe,0.5996600451910797,0.5563199266463633,0.04334011854471642,1868.5,3.4346742489540755e-07,125,3.6064079614017794e-06,True,21
0.0,0.8,1,6,KNN_MLP,SMILe,0.5751142679372565,0.5295580705373809,0.0455561973998756,1991.0,1.6182186737332926e-06,125,1.699129607419957e-05,True,21
0.2,0.6,1,3,KNN_MLP,SMILe,0.5849100042571308,0.5573532305072536,0.027556773749877195,2323.5,6.984822164539396e-05,125,0.00029336253091065466,True,21
0.2,0.8,1,4,KNN_MLP,SMILe,0.5690112060778726,0.5315813996135834,0.03742980646428917,2053.5,8.952856728747429e-06,125,4.649884967819731e-05,True,21
0.4,0.8,1,4,KNN_MLP,SMILe,0.5558248681926843,0.5265736909323115,0.02925117726037274,2536.5,0.0008444524943299208,125,0.004433375595232085,True,21
0.0,0.6,1,4,KNN_MLP,VAE_MLP,0.5996600451910797,0.5607946556636212,0.03886538952745855,2217.0,2.2431540273787476e-05,125,7.851039095825616e-05,True,21
0.0,0.8,1,4,KNN_MLP,VAE_MLP,0.5751142679372565,0.5390701771621313,0.03604409077512516,2233.5,2.686345217115773e-05,125,0.00014103312389857807,True,21
0.2,0.6,1,2,KNN_MLP,VAE_MLP,0.5849100042571308,0.5627777057340275,0.022132298523103278,2749.5,0.005006142374513795,125,0.015018427123541385,True,21
0.2,0.8,1,3,KNN_MLP,VAE_MLP,0.5690112060778726,0.5336730523627075,0.03533815371516513,2295.5,5.214605372425371e-05,125,0.00018251118803488798,True,21
0.4,0.8,1,7,KNN_MLP,VAE_MLP,0.5558248681926843,0.5163460064839375,0.039478861708746815,1891.5,7.566445849001129e-07,125,1.5889536282902373e-05,True,21
0.0,0.6,1,2,KNN_MLP,ZI_MLP,0.5996600451910797,0.5624920457150343,0.03716799947604543,2129.0,1.3368315434081319e-05,125,5.6146924823141544e-05,True,21
0.0,0.8,1,7,KNN_MLP,ZI_MLP,0.5751142679372565,0.5263039984281365,0.04881026950912004,1886.0,4.3091614667218734e-07,125,9.049239080115933e-06,True,21
0.2,0.4,1,4,KNN_MLP,ZI_MLP,0.5940851426138782,0.5727570357271506,0.021328106886727594,2674.0,0.0027452161021046576,125,0.01591803392903155,True,21
0.2,0.6,1,4,KNN_MLP,ZI_MLP,0.5849100042571308,0.5544468939319513,0.030463110325179454,2250.5,5.099934215059708e-05,125,0.00026774654629063466,True,21
0.2,0.8,1,2,KNN_MLP,ZI_MLP,0.5690112060778726,0.5347502374169043,0.03426096866096828,2112.5,1.1071154685285073e-05,125,4.649884967819731e-05,True,21
0.4,0.8,1,5,KNN_MLP,ZI_MLP,0.5558248681926843,0.5260707207649736,0.029754147427710653,2434.0,0.0002117845681656372,125,0.0014824919771594602,True,21
0.0,0.6,1,3,KNN_MLP,pAM,0.5996600451910797,0.5610582178995972,0.03860182729148254,2001.5,1.8405750444115575e-06,125,1.2884025310880903e-05,True,21
0.0,0.8,1,2,KNN_MLP,pAM,0.5751142679372565,0.5421709663686676,0.032943301568588934,2386.5,0.00013259801307942258,125,0.00046409304577797896,True,21
0.2,0.2,1,7,KNN_MLP,pAM,0.6070446212791042,0.5778042374823984,0.029240383796705793,2333.0,0.00012041758844898466,125,0.002528769357428678,True,21
0.2,0.4,1,7,KNN_MLP,pAM,0.5940851426138782,0.5584987523332351,0.03558639028064314,2063.5,1.0063779173237646e-05,125,0.00021133936263799058,True,21
0.2,0.6,1,7,KNN_MLP,pAM,0.5849100042571308,0.5360174476864131,0.04889255657071767,1598.0,1.3618407798790241e-08,125,2.8598656377459507e-07,True,21
0.2,0.8,1,6,KNN_MLP,pAM,0.5690112060778726,0.5264897796116187,0.0425214264662539,1936.0,8.156963460000731e-07,125,5.7098744220005115e-06,True,21
0.4,0.2,1,7,KNN_MLP,pAM,0.5978662998984838,0.5661198284048858,0.031746471493597994,2458.5,0.00026826180936475826,125,0.005633497996659923,True,21
0.4,0.6,1,7,KNN_MLP,pAM,0.5640654157251856,0.5303571798146511,0.03370823591053451,2216.0,3.518497199667982e-05,125,0.0007388844119302762,True,21
0.4,0.8,1,6,KNN_MLP,pAM,0.5558248681926843,0.519288640010479,0.036536228182205255,2102.0,9.810714346440591e-06,125,0.0001030125006376262,True,21
0.2,0.6,3,7,SMILe,pAM,0.5573532305072536,0.5360174476864131,0.021335782820840477,2961.0,0.0161265726907834,125,0.03762866961182794,True,21
0.2,0.6,2,6,VAE_MLP,HealNet,0.5627777057340275,0.5445366080492517,0.018241097684775776,2987.5,0.01924545531941875,125,0.04041545617077937,True,21
0.2,0.2,2,7,VAE_MLP,pAM,0.6021779087664146,0.5778042374823984,0.02437367128401624,2502.5,0.0006202858300768852,125,0.006513001215807295,True,21
