model_name,test_missing_prop,envelope_train_missing_prop,envelope_mean_auc
Di-PAM,0.0,0.0,0.6129134492582771
Di-PAM,0.2,0.0,0.6068594033467598
Di-PAM,0.4,0.0,0.5866361594131709
Di-PAM,0.6,0.0,0.5606939777974261
Di-PAM,0.8,0.0,0.5415981399613584
HealNet,0.0,0.2,0.6047354487998166
HealNet,0.2,0.0,0.5954578773291417
HealNet,0.4,0.0,0.5731818711726758
HealNet,0.6,0.0,0.5543753741362936
HealNet,0.8,0.0,0.5360685201558764
KNN_MLP,0.0,0.0,0.6191391688770999
KNN_MLP,0.2,0.0,0.6124238137341584
KNN_MLP,0.4,0.0,0.6006773815371516
KNN_MLP,0.6,0.0,0.5996600451910797
KNN_MLP,0.8,0.0,0.5751142679372565
SMILe,0.0,0.2,0.6167912106624749
SMILe,0.2,0.0,0.5991196908668174
SMILe,0.4,0.2,0.5791391950748271
SMILe,0.6,0.2,0.5573532305072536
SMILe,0.8,0.2,0.5315813996135834
VAE_MLP,0.0,0.2,0.6180143039591315
VAE_MLP,0.2,0.0,0.6042995841110784
VAE_MLP,0.4,0.2,0.5840217441136981
VAE_MLP,0.6,0.2,0.5627777057340275
VAE_MLP,0.8,0.0,0.5390701771621313
ZI_MLP,0.0,0.2,0.6066450011461506
ZI_MLP,0.2,0.0,0.6064603988603987
ZI_MLP,0.4,0.0,0.5869789828732358
ZI_MLP,0.6,0.0,0.5624920457150343
ZI_MLP,0.8,0.2,0.5347502374169043
pAM,0.0,0.0,0.6059273537020664
pAM,0.2,0.0,0.5948763925729443
pAM,0.4,0.0,0.5822406261256834
pAM,0.6,0.0,0.5610582178995972
pAM,0.8,0.0,0.5421709663686676
