model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper
Di-PAM,both,0.0,0.0,,0.6129134492582771,0.06688042909140439,125,0.011810082522841214,0.601188425844058,0.6248085908897404
Di-PAM,both,0.0,0.2,,0.6068594033467598,0.06691751674933548,125,0.011849756197399863,0.5949377689360449,0.6186372813308446
Di-PAM,both,0.0,0.4,,0.5866361594131709,0.07010951645928551,125,0.012157330779054953,0.5746271676982023,0.5989418292563122
Di-PAM,both,0.0,0.6,,0.5606939777974261,0.07257258153127792,125,0.013001922585715753,0.5478017234829878,0.5738055686544193
Di-PAM,both,0.0,0.8,,0.5415981399613584,0.07379150575799025,125,0.012487164423486297,0.5294568274552183,0.5544311563021909
Di-PAM,both,0.2,0.0,,0.606413531126175,0.07454865087693385,125,0.012910462389887578,0.5935069220945084,0.6193278468742835
Di-PAM,both,0.2,0.2,,0.5865008743491501,0.07874065710977421,125,0.01345061171693357,0.5733248089203262,0.6002260323541934
Di-PAM,both,0.2,0.4,,0.570218135376756,0.0769765474675447,125,0.01380526377836716,0.5563377365163573,0.5839482640730916
Di-PAM,both,0.2,0.6,,0.5486819530405737,0.07543770722492492,125,0.01313152994727712,0.5353834973966007,0.561646557291155
Di-PAM,both,0.2,0.8,,0.5264632151160888,0.07810547186318316,125,0.013330983724661793,0.5128484268264729,0.5395103942757965
Di-PAM,both,0.4,0.0,,0.6000335592887318,0.07972710246742279,125,0.013938714019058773,0.5860569584438552,0.6139343864819727
Di-PAM,both,0.4,0.2,,0.5851875691783737,0.07344357168249932,125,0.013235391001080565,0.5721128951763435,0.5985836771785046
Di-PAM,both,0.4,0.4,,0.5663969217670366,0.07053679003535526,125,0.012338432066018312,0.5537009100435538,0.5783777741755904
Di-PAM,both,0.4,0.6,,0.5505473229197366,0.07144673867902974,125,0.012595488423879198,0.5383542748141599,0.5635452516619183
Di-PAM,both,0.4,0.8,,0.5318289681370142,0.0685686407146096,125,0.011691488194649158,0.5201984150374955,0.5435813914267938
Di-PAM,both,0.6,0.0,,0.5567026230474507,0.08773810880571027,125,0.01564592870943432,0.5412941153354948,0.5725859727543634
Di-PAM,both,0.6,0.2,,0.5441734027573107,0.08452961868793069,125,0.014124026099485876,0.5304650607459803,0.5587131129449521
Di-PAM,both,0.6,0.4,,0.5360509938762813,0.08243454832572601,125,0.014079354553492407,0.5222403438451716,0.5503990529521564
Di-PAM,both,0.6,0.6,,0.5231516258964536,0.0697957686384736,125,0.01215119216033006,0.5107722562792677,0.5350746405999278
Di-PAM,both,0.6,0.8,,0.5181649670891051,0.07187359452268943,125,0.012419438058748344,0.5055822081409438,0.5304210842584405
Di-PAM,both,0.8,0.0,,0.5210393817336346,0.08460980639355697,125,0.01449405016864791,0.5064153056947309,0.5354034060320267
Di-PAM,both,0.8,0.2,,0.5190518518518519,0.09137417238641006,125,0.016029569374856667,0.5038182987850803,0.5358774375347937
Di-PAM,both,0.8,0.4,,0.5082828961587582,0.0816425065751448,125,0.01463846939777963,0.49343104528932125,0.5227079840848805
Di-PAM,both,0.8,0.6,,0.5125870255755314,0.07312164264814275,125,0.012546944035104923,0.5003330291122245,0.5254269171824344
Di-PAM,both,0.8,0.8,,0.5099631790942136,0.07294511063730148,125,0.012964027900579628,0.49706063725971766,0.5229886930608769
HealNet,both,0.0,0.0,,0.6029575924288569,0.06843226538965655,125,0.012054137276091226,0.5901611605593217,0.6142694351115041
HealNet,both,0.0,0.2,,0.5954578773291417,0.06774224321948781,125,0.011638252284114359,0.5839265373153878,0.6072030418836165
HealNet,both,0.0,0.4,,0.5731818711726758,0.0730886877685454,125,0.01310562039493085,0.5598278894455905,0.5860391302354522
HealNet,both,0.0,0.6,,0.5543753741362936,0.07366190951517972,125,0.012595273766250858,0.5420541732979663,0.5672447208304681
HealNet,both,0.0,0.8,,0.5360685201558764,0.07990029027871783,125,0.014274020368733098,0.521147349117464,0.5496953898549302
HealNet,both,0.2,0.0,,0.6047354487998166,0.0717553634587852,125,0.012727546255362376,0.5920119566427613,0.617467049153486
HealNet,both,0.2,0.2,,0.5880108458591217,0.06917099217441725,125,0.012039220781347226,0.5758829590333039,0.5999614005959983
HealNet,both,0.2,0.4,,0.569643776402397,0.0698312823103386,125,0.011941666830402486,0.5577636696466582,0.5816470033074632
HealNet,both,0.2,0.6,,0.5445366080492517,0.07040784218465868,125,0.012336766218030593,0.5318778973049088,0.5565514297409699
HealNet,both,0.2,0.8,,0.5283085699315583,0.07716178388466378,125,0.013697849494056336,0.5145508301404853,0.541946529128598
HealNet,both,0.4,0.0,,0.5895745358090184,0.07903194174458025,125,0.013955615155385348,0.5757372331925205,0.6036484635032912
HealNet,both,0.4,0.2,,0.5788440252808069,0.08458896388321521,125,0.014927882077479693,0.5648086387005927,0.5946644028555521
