train_missing_prop,test_missing_prop,n_models_tested,n_replicates,friedman_statistic,p_value,significant_p0_05
0.0,0.0,8,125,19.98765074770833,0.005596419019314684,True
0.0,0.2,8,125,34.24513729977084,1.5497172866595994e-05,True
0.0,0.4,8,125,51.52069425901178,7.256480055227732e-09,True
0.0,0.6,8,125,70.89743589743583,9.728925217270107e-13,True
0.0,0.8,8,125,41.65837384424743,6.049892152734512e-07,True
0.2,0.0,8,125,45.15530555820355,1.2758738161772725e-07,True
0.2,0.2,8,125,55.58595687845823,1.1410255074552107e-09,True
0.2,0.4,8,125,68.51763920671235,2.9433202033789093e-12,True
0.2,0.6,8,125,55.936624416277475,9.721389385460931e-10,True
0.2,0.8,8,125,42.7131420947297,3.7891831757470396e-07,True
0.4,0.0,8,125,58.05037687243561,3.6946314637120245e-10,True
0.4,0.2,8,125,61.05132608280867,9.3064576096994e-11,True
0.4,0.4,8,125,44.904376012966004,1.4273134752020197e-07,True
0.4,0.6,8,125,31.561122244489024,4.8974150355156164e-05,True
0.4,0.8,8,125,18.683131496137932,0.009240099193547778,True
0.6,0.0,8,125,31.26279668287091,5.560405129978194e-05,True
0.6,0.2,8,125,33.930981887511734,1.774447869234373e-05,True
0.6,0.4,8,125,16.654136055719672,0.01976778565141666,True
0.6,0.6,8,125,16.422512390392534,0.021524447902163037,True
0.6,0.8,8,125,10.686106346483541,0.15290903727923902,False
0.8,0.0,8,125,12.672068636796803,0.08051307220055132,False
0.8,0.2,8,125,8.50481640438709,0.2901880361364749,False
0.8,0.4,8,125,6.923260247854948,0.43691353528345644,False
0.8,0.6,8,125,10.526360949566152,0.16065468518740522,False
0.8,0.8,8,125,6.543521784726596,0.4779008986629498,False
