model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-PAM,envelope,0.0,0.0,0.0,0.6129134492582771,0.0668804290914043,125,0.0118100825228412,0.601188425844058,0.6248085908897404,0.6129134492582771,1.0,0.019647340501486754,0.9803526594985132,1.0196473405014868,False
Di-PAM,envelope,0.0,0.2,0.2,0.6068594033467598,0.0669175167493354,125,0.0118497561973998,0.5949377689360449,0.6186372813308446,0.6129134492582771,1.0099760271953107,0.02011390864807039,0.9898621185472403,1.030089935843381,False
Di-PAM,envelope,0.0,0.4,0.4,0.5866361594131709,0.0701095164592855,125,0.0121573307790549,0.5746271676982023,0.5989418292563122,0.6129134492582771,1.0447931642525958,0.0221102945146201,1.0226828697379757,1.066903458767216,False
Di-PAM,envelope,0.0,0.6,0.6,0.5606939777974261,0.0725725815312779,125,0.0130019225857157,0.5478017234829878,0.5738055686544193,0.6129134492582771,1.0931336406821857,0.025950420198258106,1.0671832204839276,1.1190840608804438,False
Di-PAM,envelope,0.0,0.8,0.8,0.5415981399613584,0.0737915057579902,125,0.0124871644234862,0.5294568274552183,0.5544311563021909,0.6129134492582771,1.1316756909505021,0.026707857293256643,1.1049678336572455,1.1583835482437588,False
HealNet,envelope,0.0,0.2,0.2,0.5954578773291417,0.0677422432194878,125,0.0116382522841143,0.5839265373153878,0.6072030418836165,0.6029575924288569,1.0125948709140509,0.020185745842971503,0.9924091250710794,1.0327806167570224,False
HealNet,envelope,0.0,0.4,0.4,0.5731818711726758,0.0730886877685454,125,0.0131056203949308,0.5598278894455905,0.5860391302354522,0.6029575924288569,1.0519481211003112,0.02461527824319809,1.0273328428571131,1.0765633993435093,False
HealNet,envelope,0.0,0.6,0.6,0.5543753741362936,0.0736619095151797,125,0.0125952737662508,0.5420541732979663,0.5672447208304681,0.6029575924288569,1.087634156492347,0.025285258630189045,1.062348897862158,1.1129194151225361,False
HealNet,envelope,0.0,0.8,0.8,0.5360685201558764,0.0799002902787178,125,0.014274020368733,0.521147349117464,0.5496953898549302,0.6029575924288569,1.12477709426685,0.030768992698080977,1.094008101568769,1.155546086964931,False
HealNet,envelope,0.2,0.0,0.0,0.6047354487998166,0.0717553634587852,125,0.0127275462553623,0.5920119566427613,0.617467049153486,0.6029575924288569,0.9970601088881295,0.02143574199044984,0.9756243668976796,1.0184958508785793,False
KNN_MLP,envelope,0.0,0.0,0.0,0.6191391688770999,0.0694909007034488,125,0.0121745218914759,0.6069089281854799,0.6312579719684318,0.6191391688770999,1.0,0.020058041192247966,0.979941958807752,1.020058041192248,False
KNN_MLP,envelope,0.0,0.2,0.2,0.6124238137341584,0.0708925557330849,125,0.0127014955627599,0.5993004558404559,0.6247034469659758,0.6191391688770999,1.010965209046976,0.02141119269325742,0.9895540163537186,1.0323764017402335,False
KNN_MLP,envelope,0.0,0.4,0.4,0.6006773815371516,0.0698079382454201,125,0.0122202166224579,0.588706402397092,0.613146835642008,0.6191391688770999,1.0307349467574491,0.021404793892754403,1.0093301528646947,1.0521397406502035,False
KNN_MLP,envelope,0.0,0.6,0.6,0.5996600451910797,0.0652897644961848,125,0.0110347724072438,0.5891155774961521,0.6111851223106397,0.6191391688770999,1.032483611076361,0.019355644735663313,1.0131279663406978,1.0518392558120244,False
KNN_MLP,envelope,0.0,0.8,0.8,0.5751142679372565,0.0687304140553709,125,0.0122672389232734,0.5625205327962799,0.5870550106428268,0.6191391688770999,1.076549832605868,0.02346338050770469,1.0530864520981633,1.1000132131135727,False
SMILe,envelope,0.0,0.2,0.2,0.5991196908668174,0.0730539297301689,125,0.0128284790581917,0.5862901057733241,0.6119470638897075,0.6077960899891933,1.014481912804139,0.02219760370136714,0.9922843091027718,1.036679516505506,False
