model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
Di-MMLP,both,0.0,0.0,0.0,0.0,0.5322424242424243,0.1375474841867852,125
Di-MMLP,both,0.0,0.33,0.0,0.33,0.5363636363636364,0.1439447959062479,125
Di-MMLP,both,0.0,0.66,0.0,0.66,0.5035636363636363,0.14998842930579623,125
Di-MMLP,both,0.33,0.0,0.33,0.0,0.530909090909091,0.1536901562208779,125
Di-MMLP,both,0.33,0.33,0.33,0.33,0.5073939393939393,0.15349556171774423,125
Di-MMLP,both,0.33,0.66,0.33,0.66,0.47376969696969706,0.13630502922175364,125
Di-MMLP,both,0.66,0.0,0.66,0.0,0.49781818181818177,0.162972295784898,125
Di-MMLP,both,0.66,0.33,0.66,0.33,0.49284848484848487,0.14965396463969646,125
Di-MMLP,both,0.66,0.66,0.66,0.66,0.46169696969696966,0.13782770045992324,125
Di-PAM,both,0.0,0.0,0.0,0.0,0.5279030303030304,0.13031229138018294,125
Di-PAM,both,0.0,0.33,0.0,0.33,0.5140848484848485,0.13641047094063102,125
Di-PAM,both,0.0,0.66,0.0,0.66,0.48547878787878784,0.13250615181554898,125
Di-PAM,both,0.33,0.0,0.33,0.0,0.5080242424242425,0.16142024945511296,125
Di-PAM,both,0.33,0.33,0.33,0.33,0.49323636363636364,0.1534312546894474,125
Di-PAM,both,0.33,0.66,0.33,0.66,0.47616969696969697,0.1365288149148479,125
Di-PAM,both,0.66,0.0,0.66,0.0,0.4791030303030303,0.1453072445740092,125
Di-PAM,both,0.66,0.33,0.66,0.33,0.49372121212121217,0.14057111424013552,125
Di-PAM,both,0.66,0.66,0.66,0.66,0.4843636363636364,0.14838327165795304,125
HealNet,both,0.0,0.0,0.0,0.0,0.5683151515151516,0.15457875554048506,125
HealNet,both,0.0,0.33,0.0,0.33,0.5271515151515153,0.14936519603966533,125
HealNet,both,0.0,0.66,0.0,0.66,0.5017939393939393,0.15630934063796215,125
HealNet,both,0.33,0.0,0.33,0.0,0.5433454545454546,0.14827234779262916,125
HealNet,both,0.33,0.33,0.33,0.33,0.4996363636363636,0.15211445503018448,125
HealNet,both,0.33,0.66,0.33,0.66,0.4885090909090909,0.1525867753586035,125
HealNet,both,0.66,0.0,0.66,0.0,0.5269575757575758,0.1524763373213488,125
HealNet,both,0.66,0.33,0.66,0.33,0.4900606060606062,0.14850359966984872,125
HealNet,both,0.66,0.66,0.66,0.66,0.4526303030303031,0.15333198875845355,125
KNN_MLP,both,0.0,0.0,0.0,0.0,0.5364363636363636,0.15472143393384824,125
KNN_MLP,both,0.0,0.33,0.0,0.33,0.531248484848485,0.1644180561703067,125
KNN_MLP,both,0.0,0.66,0.0,0.66,0.4833939393939394,0.1584285892119113,125
KNN_MLP,both,0.33,0.0,0.33,0.0,0.5241212121212122,0.15194630736639975,125
KNN_MLP,both,0.33,0.33,0.33,0.33,0.4863272727272728,0.14850560231604448,125
KNN_MLP,both,0.33,0.66,0.33,0.66,0.4735515151515152,0.14741941051718166,125
KNN_MLP,both,0.66,0.0,0.66,0.0,0.514909090909091,0.14026228747034078,125
KNN_MLP,both,0.66,0.33,0.66,0.33,0.5130181818181818,0.13856751918949045,125
KNN_MLP,both,0.66,0.66,0.66,0.66,0.45983030303030314,0.13548588142199122,125
SMILe,both,0.0,0.0,0.0,0.0,0.5033454545454545,0.14107261137073945,125
SMILe,both,0.0,0.33,0.0,0.33,0.48547878787878784,0.1307276130677416,125
SMILe,both,0.0,0.66,0.0,0.66,0.4853090909090909,0.15299040158061894,125
SMILe,both,0.33,0.0,0.33,0.0,0.481430303030303,0.1636019550370166,125
SMILe,both,0.33,0.33,0.33,0.33,0.4614060606060606,0.15032728101906412,125
SMILe,both,0.33,0.66,0.33,0.66,0.44152727272727277,0.1530305566038374,125
SMILe,both,0.66,0.0,0.66,0.0,0.48792727272727265,0.14407231810648005,125
SMILe,both,0.66,0.33,0.66,0.33,0.45888484848484845,0.1331651253916552,125
SMILe,both,0.66,0.66,0.66,0.66,0.44615757575757586,0.13906956606140836,125
