model_name,baseline_mean_auc,intuition_slope,intuition_p_value,intuition_fit_status,pure_test_time_resilience_slope,pure_test_time_resilience_p_value,pure_test_time_resilience_fit_status,resilience_post_adaptation_mean_auc
HealNet,0.5683151515151516,-0.06266299357208,0.02688000853999963,ok_lbfgs,-0.10078971533516921,1.6468282597882372e-07,ok_lbfgs,0.532420202020202
pAM,0.5433454545454546,-0.06339761248851636,0.031246021031107563,ok_lbfgs,-0.06501377410468531,0.0006810138816020975,ok_lbfgs,0.5143676767676767
KNN_MLP,0.5364363636363636,-0.03261707988980663,0.2472652727670187,ok_lbfgs,-0.08036730945822006,8.825656795398873e-06,ok_lbfgs,0.5170262626262626
ZI_MLP,0.5364363636363636,-0.07882460973369544,0.004336104512588854,ok_lbfgs,-0.056749311294765924,0.0031845280346593516,ok_lbfgs,0.5231676767676768
VAE_MLP,0.5359515151515151,-0.05586776859503824,0.026704287066856933,ok_lbfgs,-0.06130394857667692,0.0007719483460427127,ok_lbfgs,0.5170424242424242
Di-MMLP,0.5322424242424243,-0.05215794306702799,0.0706536243211121,ok_lbfgs,-0.04345270890725391,0.02288867446964409,ok_lbfgs,0.5240565656565657
Di-PAM,0.5279030303030304,-0.0739393939394029,0.008083059815732499,ok_lbfgs,-0.06427915518824347,0.0001939419858620988,ok_lbfgs,0.5091555555555556
SMILe,0.5033454545454545,-0.023360881542694365,0.39596065177988105,ok_lbfgs,-0.02732782369145959,0.18584117876316752,ok_lbfgs,0.49137777777777775
