model_name,scenario,train_prop,test_prop,train_missing_prop,test_missing_prop,mean_auc,std_auc,n_replicates
HealNet,both,0.0,0.0,0.0,0.0,0.6105852187028658,0.10192109458037668,125
HealNet,both,0.0,0.25,0.0,0.25,0.5927812971342383,0.10307256839306063,125
HealNet,both,0.0,0.5,0.0,0.5,0.5789653092006034,0.1090429651661004,125
HealNet,both,0.0,0.75,0.0,0.75,0.5546214177978884,0.1172565464548746,125
HealNet,both,0.25,0.0,0.25,0.0,0.6162805429864252,0.10310152591561779,125
HealNet,both,0.25,0.25,0.25,0.25,0.5778009049773755,0.10710921152582571,125
HealNet,both,0.25,0.5,0.25,0.5,0.5669260935143289,0.11281257419881255,125
HealNet,both,0.25,0.75,0.25,0.75,0.5543891402714932,0.12005285039734662,125
HealNet,both,0.5,0.0,0.5,0.0,0.6073212669683258,0.11384936903634618,125
HealNet,both,0.5,0.25,0.5,0.25,0.5679185520361991,0.11933838687682591,125
HealNet,both,0.5,0.5,0.5,0.5,0.565339366515837,0.10912790242323504,125
HealNet,both,0.5,0.75,0.5,0.75,0.5562956259426849,0.11744426357748201,125
HealNet,both,0.75,0.0,0.75,0.0,0.5847812971342383,0.12093037074941,125
HealNet,both,0.75,0.25,0.75,0.25,0.5743710407239819,0.12503018204613262,125
HealNet,both,0.75,0.5,0.75,0.5,0.563758672699849,0.11677725981168458,125
HealNet,both,0.75,0.75,0.75,0.75,0.5529954751131221,0.1194787973897026,125
KNN_MLP,both,0.0,0.0,0.0,0.0,0.6344313725490196,0.08141974053786218,125
KNN_MLP,both,0.0,0.25,0.0,0.25,0.6026244343891402,0.09424231379269313,125
KNN_MLP,both,0.0,0.5,0.0,0.5,0.6145942684766215,0.099546525588965,125
KNN_MLP,both,0.0,0.75,0.0,0.75,0.6271734539969833,0.10676540450303065,125
KNN_MLP,both,0.25,0.0,0.25,0.0,0.6132820512820513,0.09302938465618599,125
KNN_MLP,both,0.25,0.25,0.25,0.25,0.587713423831071,0.09133673760985014,125
KNN_MLP,both,0.25,0.5,0.25,0.5,0.5995384615384616,0.09038805184909228,125
KNN_MLP,both,0.25,0.75,0.25,0.75,0.6237164404223228,0.09895966651187864,125
KNN_MLP,both,0.5,0.0,0.5,0.0,0.6198793363499246,0.0969479034259031,125
KNN_MLP,both,0.5,0.25,0.5,0.25,0.584422322775264,0.11043040918765283,125
KNN_MLP,both,0.5,0.5,0.5,0.5,0.5855082956259425,0.10380038882412541,125
KNN_MLP,both,0.5,0.75,0.5,0.75,0.6247812971342384,0.11180632178504915,125
KNN_MLP,both,0.75,0.0,0.75,0.0,0.625529411764706,0.10791078630044978,125
KNN_MLP,both,0.75,0.25,0.75,0.25,0.6051674208144797,0.11520118391604968,125
KNN_MLP,both,0.75,0.5,0.75,0.5,0.5953514328808448,0.10707281969979755,125
KNN_MLP,both,0.75,0.75,0.75,0.75,0.6277978883861237,0.09723827126039056,125
Di-PAM,both,0.0,0.0,0.0,0.0,0.6255957767722473,0.0962357920156404,125
Di-PAM,both,0.0,0.25,0.0,0.25,0.6057948717948718,0.10796346642890287,125
Di-PAM,both,0.0,0.5,0.0,0.5,0.6035957767722473,0.1013779388807876,125
Di-PAM,both,0.0,0.75,0.0,0.75,0.6079758672699849,0.09502861263499497,125
Di-PAM,both,0.25,0.0,0.25,0.0,0.6078883861236801,0.11002075220977439,125
Di-PAM,both,0.25,0.25,0.25,0.25,0.5961297134238311,0.10590948883940572,125
Di-PAM,both,0.25,0.5,0.25,0.5,0.5883589743589743,0.1169801310185196,125
Di-PAM,both,0.25,0.75,0.25,0.75,0.5935505279034691,0.10992079839200807,125
Di-PAM,both,0.5,0.0,0.5,0.0,0.608286576168929,0.09766868204835863,125
Di-PAM,both,0.5,0.25,0.5,0.25,0.5806184012066365,0.10747712745461754,125
Di-PAM,both,0.5,0.5,0.5,0.5,0.5764374057315234,0.108925228288241,125
Di-PAM,both,0.5,0.75,0.5,0.75,0.588395173453997,0.12002100110979219,125
Di-PAM,both,0.75,0.0,0.75,0.0,0.5726938159879338,0.10968278508647125,125
Di-PAM,both,0.75,0.25,0.75,0.25,0.5607812971342382,0.10383319850395559,125
Di-PAM,both,0.75,0.5,0.75,0.5,0.567236802413273,0.1144155353667771,125
Di-PAM,both,0.75,0.75,0.75,0.75,0.5738582202111613,0.12400549765892294,125
SMILe,both,0.0,0.0,0.0,0.0,0.6385309200603319,0.09282761029233687,125
